"","pvalue","Global.Mantel.r","run","Comparison.type","Yard.diff","Neighbor.distance","Nursery","Mimicry","Constraint","Step","significance"
"1",0.001,0.0890478591487698,1,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"2",0.001,0.0542149157660002,2,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"3",0.001,0.07832871570878,3,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"4",0.001,0.0598965476285279,4,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"5",0.001,0.0574222638173687,5,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"6",0.001,0.0304094456226083,6,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"7",0.001,0.0776922923050435,7,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"8",0.001,0.0781533670606658,8,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"9",0.001,0.0663516717520754,9,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"10",0.001,0.0652853371061356,10,"equal-or-greater",0,3,1,TRUE,"off",99,0.001
"11",0.02,0.00741534633599206,11,"equal-or-greater",0,3,1,TRUE,"random",22,0.0865
"12",0.068,0.0063999884294445,12,"equal-or-greater",0,3,1,TRUE,"random",19,0.0865
"13",0.002,0.0111367704445357,13,"equal-or-greater",0,3,1,TRUE,"random",22,0.0865
"14",0.216,0.00303363031830064,14,"equal-or-greater",0,3,1,TRUE,"random",20,0.0865
"15",0.002,0.0143209247855005,15,"equal-or-greater",0,3,1,TRUE,"random",19,0.0865
"16",0.001,0.0176906643699635,16,"equal-or-greater",0,3,1,TRUE,"random",19,0.0865
"17",0.493,-0.000112894596408794,17,"equal-or-greater",0,3,1,TRUE,"random",21,0.0865
"18",0.045,0.00645642584029247,18,"equal-or-greater",0,3,1,TRUE,"random",20,0.0865
"19",0.008,0.00888165158482202,19,"equal-or-greater",0,3,1,TRUE,"random",23,0.0865
"20",0.01,0.00964962939145231,20,"equal-or-greater",0,3,1,TRUE,"random",21,0.0865
"21",0.001,0.191914343895211,21,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"22",0.001,0.206509211142047,22,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"23",0.001,0.215126154276523,23,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"24",0.001,0.207746491919722,24,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"25",0.001,0.213399349257012,25,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"26",0.001,0.191469800967795,26,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"27",0.001,0.187556333635644,27,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"28",0.001,0.205690084520412,28,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"29",0.001,0.207776127974057,29,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"30",0.001,0.200695278984593,30,"equal-or-greater",0,3,1,TRUE,"by-block",99,0.001
"31",0.001,0.0576703514185022,31,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"32",0.001,0.122108170821641,32,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"33",0.001,0.0949181405431325,33,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"34",0.001,0.0695881657161645,34,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"35",0.001,0.051270541057984,35,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"36",0.001,0.0609258874697119,36,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"37",0.001,0.0664076836043969,37,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"38",0.001,0.0913757452995225,38,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"39",0.001,0.086171870996358,39,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"40",0.001,0.0840266578304004,40,"equal-or-greater",0,3,4,TRUE,"off",99,0.001
"41",0.437,0.00071817850904873,41,"equal-or-greater",0,3,4,TRUE,"random",27,0.2554
"42",0.001,0.0256858238973646,42,"equal-or-greater",0,3,4,TRUE,"random",17,0.2554
"43",0.152,0.00435637759602372,43,"equal-or-greater",0,3,4,TRUE,"random",20,0.2554
"44",0.001,0.0159301442539503,44,"equal-or-greater",0,3,4,TRUE,"random",20,0.2554
"45",0.935,-0.00565020832734881,45,"equal-or-greater",0,3,4,TRUE,"random",19,0.2554
"46",0.001,0.0205857299204,46,"equal-or-greater",0,3,4,TRUE,"random",19,0.2554
"47",0.051,0.00642907763587803,47,"equal-or-greater",0,3,4,TRUE,"random",20,0.2554
"48",0.001,0.0158351205287979,48,"equal-or-greater",0,3,4,TRUE,"random",24,0.2554
"49",0.174,0.0037526292259548,49,"equal-or-greater",0,3,4,TRUE,"random",18,0.2554
"50",0.801,-0.00326562302031164,50,"equal-or-greater",0,3,4,TRUE,"random",19,0.2554
"51",0.001,0.204386559941078,51,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"52",0.001,0.219355163793664,52,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"53",0.001,0.239146245631038,53,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"54",0.001,0.216727029694168,54,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"55",0.001,0.250774181235335,55,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"56",0.001,0.21940817931449,56,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"57",0.001,0.233463761253669,57,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"58",0.001,0.212528152422511,58,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"59",0.001,0.216867399971761,59,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"60",0.001,0.20628706252012,60,"equal-or-greater",0,3,4,TRUE,"by-block",99,0.001
"61",0.001,0.0464462407525309,61,"equal-or-greater",0,9,1,TRUE,"off",99,0.001
"62",0.001,0.0533356892008817,62,"equal-or-greater",0,9,1,TRUE,"off",99,0.001
"63",0.001,0.0604923141994953,63,"equal-or-greater",0,9,1,TRUE,"off",89,0.001
"64",0.001,0.0580656754130473,64,"equal-or-greater",0,9,1,TRUE,"off",81,0.001
"65",0.001,0.0445683798850547,65,"equal-or-greater",0,9,1,TRUE,"off",99,0.001
"66",0.001,0.0464090818878048,66,"equal-or-greater",0,9,1,TRUE,"off",68,0.001
"67",0.001,0.0465679243981019,67,"equal-or-greater",0,9,1,TRUE,"off",81,0.001
"68",0.001,0.0400444620976843,68,"equal-or-greater",0,9,1,TRUE,"off",68,0.001
"69",0.001,0.0650543894555157,69,"equal-or-greater",0,9,1,TRUE,"off",58,0.001
"70",0.001,0.0425388886010367,70,"equal-or-greater",0,9,1,TRUE,"off",43,0.001
"71",0.897,-0.00508054616649963,71,"equal-or-greater",0,9,1,TRUE,"random",36,0.1169
"72",0.01,0.0101029663601316,72,"equal-or-greater",0,9,1,TRUE,"random",16,0.1169
"73",0.04,0.00720549349515512,73,"equal-or-greater",0,9,1,TRUE,"random",14,0.1169
"74",0.061,0.00641725539443652,74,"equal-or-greater",0,9,1,TRUE,"random",18,0.1169
"75",0.001,0.0192575368637097,75,"equal-or-greater",0,9,1,TRUE,"random",13,0.1169
"76",0.003,0.0119790544770314,76,"equal-or-greater",0,9,1,TRUE,"random",22,0.1169
"77",0.01,0.0100402021111146,77,"equal-or-greater",0,9,1,TRUE,"random",11,0.1169
"78",0.004,0.0106652807432822,78,"equal-or-greater",0,9,1,TRUE,"random",24,0.1169
"79",0.137,0.004387271286341,79,"equal-or-greater",0,9,1,TRUE,"random",25,0.1169
"80",0.006,0.00988852780728407,80,"equal-or-greater",0,9,1,TRUE,"random",24,0.1169
"81",0.001,0.127129060601743,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,0.001
"82",0.001,0.159053523713507,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,0.001
"83",0.001,0.15882103949672,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,0.001
"84",0.001,0.117937061205807,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,0.001
"85",0.001,0.160077180186567,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,0.001
"86",0.001,0.133476224473001,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,0.001
"87",0.001,0.165901515315625,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,0.001
"88",0.001,0.186609064243497,88,"equal-or-greater",0,9,1,TRUE,"by-block",75,0.001
"89",0.001,0.181190090163772,89,"equal-or-greater",0,9,1,TRUE,"by-block",81,0.001
"90",0.001,0.182523056907688,90,"equal-or-greater",0,9,1,TRUE,"by-block",99,0.001
"91",0.001,0.105667248297507,91,"equal-or-greater",0,9,4,TRUE,"off",99,0.001
"92",0.001,0.0336715145163587,92,"equal-or-greater",0,9,4,TRUE,"off",52,0.001
"93",0.001,0.026615405312744,93,"equal-or-greater",0,9,4,TRUE,"off",72,0.001
"94",0.001,0.0719225297818974,94,"equal-or-greater",0,9,4,TRUE,"off",78,0.001
"95",0.001,0.0576458887870111,95,"equal-or-greater",0,9,4,TRUE,"off",99,0.001
"96",0.001,0.0727367828142519,96,"equal-or-greater",0,9,4,TRUE,"off",56,0.001
"97",0.001,0.0313230312899753,97,"equal-or-greater",0,9,4,TRUE,"off",67,0.001
"98",0.001,0.026766212958268,98,"equal-or-greater",0,9,4,TRUE,"off",64,0.001
"99",0.001,0.036097278481344,99,"equal-or-greater",0,9,4,TRUE,"off",99,0.001
"100",0.001,0.0340510400560052,100,"equal-or-greater",0,9,4,TRUE,"off",99,0.001
"101",0.013,0.00975664520485799,101,"equal-or-greater",0,9,4,TRUE,"random",23,0.0445
"102",0.001,0.016561674774257,102,"equal-or-greater",0,9,4,TRUE,"random",20,0.0445
"103",0.248,0.00281044628397158,103,"equal-or-greater",0,9,4,TRUE,"random",20,0.0445
"104",0.078,0.0059498654011066,104,"equal-or-greater",0,9,4,TRUE,"random",20,0.0445
"105",0.004,0.0135058331860307,105,"equal-or-greater",0,9,4,TRUE,"random",28,0.0445
"106",0.003,0.0123668153133813,106,"equal-or-greater",0,9,4,TRUE,"random",21,0.0445
"107",0.001,0.0153459755735447,107,"equal-or-greater",0,9,4,TRUE,"random",18,0.0445
"108",0.027,0.00781787083307867,108,"equal-or-greater",0,9,4,TRUE,"random",29,0.0445
"109",0.024,0.00870965406617928,109,"equal-or-greater",0,9,4,TRUE,"random",10,0.0445
"110",0.046,0.00668251046663373,110,"equal-or-greater",0,9,4,TRUE,"random",23,0.0445
"111",0.001,0.145682246065327,111,"equal-or-greater",0,9,4,TRUE,"by-block",64,0.001
"112",0.001,0.164293845990811,112,"equal-or-greater",0,9,4,TRUE,"by-block",79,0.001
"113",0.001,0.193689561010304,113,"equal-or-greater",0,9,4,TRUE,"by-block",93,0.001
"114",0.001,0.205316626413703,114,"equal-or-greater",0,9,4,TRUE,"by-block",99,0.001
"115",0.001,0.184741395380704,115,"equal-or-greater",0,9,4,TRUE,"by-block",78,0.001
"116",0.001,0.187844161155871,116,"equal-or-greater",0,9,4,TRUE,"by-block",73,0.001
"117",0.001,0.142373949581712,117,"equal-or-greater",0,9,4,TRUE,"by-block",59,0.001
"118",0.001,0.179196708940131,118,"equal-or-greater",0,9,4,TRUE,"by-block",81,0.001
"119",0.001,0.216058090468584,119,"equal-or-greater",0,9,4,TRUE,"by-block",78,0.001
"120",0.001,0.13971284847484,120,"equal-or-greater",0,9,4,TRUE,"by-block",90,0.001
"121",0.064,0.00578091854084388,121,"equal-or-greater",2,3,1,TRUE,"off",16,0.1239
"122",0.007,0.00960459579841261,122,"equal-or-greater",2,3,1,TRUE,"off",17,0.1239
"123",0.001,0.0259585753394536,123,"equal-or-greater",2,3,1,TRUE,"off",15,0.1239
"124",0.051,0.00598630256817153,124,"equal-or-greater",2,3,1,TRUE,"off",19,0.1239
"125",0.001,0.0145309248364264,125,"equal-or-greater",2,3,1,TRUE,"off",18,0.1239
"126",0.993,-0.00943453249559192,126,"equal-or-greater",2,3,1,TRUE,"off",16,0.1239
"127",0.001,0.0149457682613477,127,"equal-or-greater",2,3,1,TRUE,"off",18,0.1239
"128",0.118,0.00450230948884542,128,"equal-or-greater",2,3,1,TRUE,"off",20,0.1239
"129",0.001,0.0164027158446864,129,"equal-or-greater",2,3,1,TRUE,"off",17,0.1239
"130",0.002,0.0143761943741526,130,"equal-or-greater",2,3,1,TRUE,"off",17,0.1239
"131",0.822,-0.00269785760841558,131,"equal-or-greater",2,3,1,TRUE,"random",10,0.3129
"132",0.045,0.00491225573008352,132,"equal-or-greater",2,3,1,TRUE,"random",9,0.3129
"133",0.889,-0.00424576758736086,133,"equal-or-greater",2,3,1,TRUE,"random",12,0.3129
"134",0.571,-0.000642867938560976,134,"equal-or-greater",2,3,1,TRUE,"random",8,0.3129
"135",0.272,0.00199739937739065,135,"equal-or-greater",2,3,1,TRUE,"random",11,0.3129
"136",0.101,0.0038283072434001,136,"equal-or-greater",2,3,1,TRUE,"random",7,0.3129
"137",0.172,0.00282765536507251,137,"equal-or-greater",2,3,1,TRUE,"random",7,0.3129
"138",0.254,0.00200947039423376,138,"equal-or-greater",2,3,1,TRUE,"random",9,0.3129
"139",0.001,0.0141761196983985,139,"equal-or-greater",2,3,1,TRUE,"random",9,0.3129
"140",0.002,0.010699759331945,140,"equal-or-greater",2,3,1,TRUE,"random",9,0.3129
"141",0.607,-0.00093889640981917,141,"equal-or-greater",2,3,1,TRUE,"by-block",15,0.9011
"142",1,-0.0158801127583654,142,"equal-or-greater",2,3,1,TRUE,"by-block",15,0.9011
