"","pvalue","Global.Mantel.r","run","Nursery","Mimicry","Constraints","step","significance"
"1",0.001,0.0429836507136146,1,1,FALSE,"off",0,0.001
"2",0.001,0.0393636434124073,2,1,FALSE,"off",0,0.001
"3",0.001,0.0410443173022024,3,1,FALSE,"off",0,0.001
"4",0.001,0.0415823818252733,4,1,FALSE,"off",0,0.001
"5",0.001,0.0391381826507583,5,1,FALSE,"off",0,0.001
"6",0.001,0.03574356337381,6,1,FALSE,"off",0,0.001
"7",0.001,0.0389245131123813,7,1,FALSE,"off",0,0.001
"8",0.001,0.0360496215777888,8,1,FALSE,"off",0,0.001
"9",0.001,0.0403344242142321,9,1,FALSE,"off",0,0.001
"10",0.001,0.0391041572676435,10,1,FALSE,"off",0,0.001
"11",0.001,0.0595780435797878,11,1,FALSE,"random",0,0.001
"12",0.001,0.0588128305191033,12,1,FALSE,"random",0,0.001
"13",0.001,0.0591204055919873,13,1,FALSE,"random",0,0.001
"14",0.001,0.0579257267949629,14,1,FALSE,"random",0,0.001
"15",0.001,0.0588410260288425,15,1,FALSE,"random",0,0.001
"16",0.001,0.0582276668201565,16,1,FALSE,"random",0,0.001
"17",0.001,0.0577631963667529,17,1,FALSE,"random",0,0.001
"18",0.001,0.0565129133565303,18,1,FALSE,"random",0,0.001
"19",0.001,0.0563788427808017,19,1,FALSE,"random",0,0.001
"20",0.001,0.0580603001808375,20,1,FALSE,"random",0,0.001
"21",0.001,0.0426583818834395,21,1,FALSE,"by-block",0,0.001
"22",0.001,0.0428188876555663,22,1,FALSE,"by-block",0,0.001
"23",0.001,0.0432169826660893,23,1,FALSE,"by-block",0,0.001
"24",0.001,0.0444659236178472,24,1,FALSE,"by-block",0,0.001
"25",0.001,0.0442336793627799,25,1,FALSE,"by-block",0,0.001
"26",0.001,0.0460575087247141,26,1,FALSE,"by-block",0,0.001
"27",0.001,0.0435156809917086,27,1,FALSE,"by-block",0,0.001
"28",0.001,0.0394005224420038,28,1,FALSE,"by-block",0,0.001
"29",0.001,0.0367995670671014,29,1,FALSE,"by-block",0,0.001
"30",0.001,0.0433810472753809,30,1,FALSE,"by-block",0,0.001
"31",0.001,0.0478969008174319,31,4,FALSE,"off",0,0.001
"32",0.001,0.045979513216637,32,4,FALSE,"off",0,0.001
"33",0.001,0.0545313316754605,33,4,FALSE,"off",0,0.001
"34",0.001,0.0446066388257001,34,4,FALSE,"off",0,0.001
"35",0.001,0.0502813609346833,35,4,FALSE,"off",0,0.001
"36",0.001,0.0465462232937247,36,4,FALSE,"off",0,0.001
"37",0.001,0.0419003065394709,37,4,FALSE,"off",0,0.001
"38",0.001,0.0464258769021533,38,4,FALSE,"off",0,0.001
"39",0.001,0.044330401937797,39,4,FALSE,"off",0,0.001
"40",0.001,0.0477383362898403,40,4,FALSE,"off",0,0.001
"41",0.001,0.0620133649476992,41,4,FALSE,"random",0,0.001
"42",0.001,0.0644937983033161,42,4,FALSE,"random",0,0.001
"43",0.001,0.0659610208758021,43,4,FALSE,"random",0,0.001
"44",0.001,0.0647494769597255,44,4,FALSE,"random",0,0.001
"45",0.001,0.0555379325301816,45,4,FALSE,"random",0,0.001
"46",0.001,0.0547156910485905,46,4,FALSE,"random",0,0.001
"47",0.001,0.061617026828008,47,4,FALSE,"random",0,0.001
"48",0.001,0.0635007707177921,48,4,FALSE,"random",0,0.001
"49",0.001,0.0584956852488371,49,4,FALSE,"random",0,0.001
"50",0.001,0.063257262078759,50,4,FALSE,"random",0,0.001
"51",0.001,0.0462869529352878,51,4,FALSE,"by-block",0,0.001
"52",0.001,0.0484343688844309,52,4,FALSE,"by-block",0,0.001
"53",0.001,0.0504791356166618,53,4,FALSE,"by-block",0,0.001
"54",0.001,0.0461930403787889,54,4,FALSE,"by-block",0,0.001
"55",0.001,0.0494089616213169,55,4,FALSE,"by-block",0,0.001
"56",0.001,0.0446313665750702,56,4,FALSE,"by-block",0,0.001
"57",0.001,0.0477545128151948,57,4,FALSE,"by-block",0,0.001
"58",0.001,0.0499450610176005,58,4,FALSE,"by-block",0,0.001
"59",0.001,0.0466302031969705,59,4,FALSE,"by-block",0,0.001
"60",0.001,0.0483610213167467,60,4,FALSE,"by-block",0,0.001
