"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraints","Step"
"1",0.0819112222826195,1,0.0099009900990099,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.1",0.048998581675369,3,0.0198019801980198,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.2",0.0220134268223812,5,0.0297029702970297,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.3",0.00936815699556653,7,0.0396039603960396,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.4",0.00580127321084948,9,0.0495049504950495,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.5",0.00537083787535084,11,0.0594059405940594,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.6",0.00389133796899049,13,0.0693069306930693,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.7",0.00376561578000859,15,0.0792079207920792,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.8",0.00345896098665941,17,0.0891089108910891,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.9",0.00358286436277502,19,0.099009900990099,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.10",0.0046175156694493,21,0.108910891089109,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.11",0.00351349717936177,23,0.118811881188119,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.12",0.00306011521314812,25,0.128712871287129,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.13",0.002933057871121,27,0.138613861386139,1,"equal-or-greater","0",1,1,TRUE,"off",99
"1.14",0.00207674317321555,29,0.148514851485149,1,"equal-or-greater","0",1,1,TRUE,"off",99
"2",0.0827323296860067,1,0.0099009900990099,2,"equal-or-greater","0",1,1,TRUE,"off",99
"2.1",0.0494374675392692,3,0.0198019801980198,2,"equal-or-greater","0",1,1,TRUE,"off",99
"2.2",0.0217811856416937,5,0.0297029702970297,2,"equal-or-greater","0",1,1,TRUE,"off",99
