"","Mantel.local","Class.Index","P.value","run","Happy.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step"
"1",0.0240380974029687,1,0.0099009900990099,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.1",0.0320409818862251,3,0.0198019801980198,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.2",0.0317222287469069,5,0.0297029702970297,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.3",0.0272190130656203,7,0.0396039603960396,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.4",0.0243385440362775,9,0.0495049504950495,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.5",0.0203491429342955,11,0.0594059405940594,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.6",0.017316224207444,13,0.0693069306930693,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.7",0.0135978017810364,15,0.0792079207920792,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.8",0.011561255904906,17,0.0891089108910891,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.9",0.0106011371864861,19,0.099009900990099,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.10",0.0109092991786189,21,0.108910891089109,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.11",0.00908237373721125,23,0.118811881188119,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.12",0.00893520904392978,25,0.128712871287129,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.13",0.00826591052453103,27,0.138613861386139,1,"equal-or-greater",0,3,1,TRUE,"off",99
"1.14",0.00764143753985705,29,0.148514851485149,1,"equal-or-greater",0,3,1,TRUE,"off",99
"2",0.0248197621095774,1,0.0099009900990099,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.1",0.0328469313032815,3,0.0198019801980198,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.2",0.0316644892784049,5,0.0297029702970297,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.3",0.0258352971851274,7,0.0396039603960396,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.4",0.0213816802609045,9,0.0495049504950495,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.5",0.0170480098666227,11,0.0594059405940594,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.6",0.0125114064806889,13,0.0693069306930693,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.7",0.00858106766844594,15,0.0792079207920792,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.8",0.00614948190661716,17,0.0891089108910891,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.9",0.00467407507948546,19,0.099009900990099,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.10",0.00535510104627672,21,0.108910891089109,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.11",0.00334809712918023,23,0.118811881188119,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.12",0.00251000472903961,25,0.128712871287129,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.13",0.0015544609084223,27,0.138613861386139,2,"equal-or-greater",0,3,1,TRUE,"off",99
"2.14",0.000849746811274797,29,0.148514851485149,2,"equal-or-greater",0,3,1,TRUE,"off",99
"3",0.0267905847709003,1,0.0099009900990099,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.1",0.0358974789636717,3,0.0198019801980198,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.2",0.0351123430812278,5,0.0297029702970297,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.3",0.0292999034869255,7,0.0396039603960396,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.4",0.024919073363403,9,0.0495049504950495,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.5",0.0196813703876906,11,0.0594059405940594,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.6",0.0152793162379401,13,0.0693069306930693,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.7",0.0110413608003724,15,0.0792079207920792,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.8",0.00872820194584797,17,0.0891089108910891,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.9",0.00728457843950707,19,0.099009900990099,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.10",0.00743447822321117,21,0.108910891089109,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.11",0.00575041538937192,23,0.118811881188119,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.12",0.00567307250911734,25,0.128712871287129,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.13",0.00528657631710729,27,0.138613861386139,3,"equal-or-greater",0,3,1,TRUE,"off",99
"3.14",0.00509379774349623,29,0.148514851485149,3,"equal-or-greater",0,3,1,TRUE,"off",99
"4",0.0257620759530903,1,0.0099009900990099,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.1",0.0339867951322384,3,0.0198019801980198,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.2",0.0328843744827306,5,0.0297029702970297,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.3",0.027172605588033,7,0.0396039603960396,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.4",0.0228494087916651,9,0.0495049504950495,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.5",0.0175952440104681,11,0.0594059405940594,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.6",0.0125955886456955,13,0.0693069306930693,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.7",0.00842796389284133,15,0.0792079207920792,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.8",0.00562120439285568,17,0.0891089108910891,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.9",0.00370692192603407,19,0.099009900990099,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.10",0.00394482682218888,21,0.108910891089109,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.11",0.00226697871256833,23,0.118811881188119,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.12",0.0018799412145305,25,0.128712871287129,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.13",0.00128854062569937,27,0.138613861386139,4,"equal-or-greater",0,3,1,TRUE,"off",99
"4.14",0.00113573485488078,29,0.148514851485149,4,"equal-or-greater",0,3,1,TRUE,"off",99
"5",0.0262458261344072,1,0.0099009900990099,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.1",0.0349139109974384,3,0.0198019801980198,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.2",0.0342309765074648,5,0.0297029702970297,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.3",0.0285421936963176,7,0.0396039603960396,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.4",0.0244583797818654,9,0.0495049504950495,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.5",0.0192680659463257,11,0.0594059405940594,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.6",0.0144020662394632,13,0.0693069306930693,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.7",0.00959003714266168,15,0.0792079207920792,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.8",0.00626685477333635,17,0.0891089108910891,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.9",0.00397463517754836,19,0.099009900990099,5,"equal-or-greater",0,3,1,TRUE,"off",99
