"","Mantel.local","Class.Index","P.value","run","Num.nursery","Mimicry","Constraints","step"
"1",0.0166927672651571,1,0.0099009900990099,1,1,FALSE,"off",0
"1.1",0.0223167673637724,3,0.0198019801980198,1,1,FALSE,"off",0
"1.2",0.0216781168462164,5,0.0297029702970297,1,1,FALSE,"off",0
"1.3",0.0162909847387961,7,0.0396039603960396,1,1,FALSE,"off",0
"1.4",0.0112111212745254,9,0.0495049504950495,1,1,FALSE,"off",0
"1.5",0.0120759287520026,11,0.0594059405940594,1,1,FALSE,"off",0
"1.6",0.0115582955193116,13,0.0693069306930693,1,1,FALSE,"off",0
"1.7",0.0119376974930225,15,0.0792079207920792,1,1,FALSE,"off",0
"1.8",0.0114601114587713,17,0.0891089108910891,1,1,FALSE,"off",0
"1.9",0.00935444425106241,19,0.099009900990099,1,1,FALSE,"off",0
"1.10",0.00781638474012693,21,0.108910891089109,1,1,FALSE,"off",0
"1.11",0.00687423132977301,23,0.118811881188119,1,1,FALSE,"off",0
"1.12",0.00584447892848633,25,0.128712871287129,1,1,FALSE,"off",0
"1.13",0.00504389536060258,27,0.138613861386139,1,1,FALSE,"off",0
"1.14",0.00434839919738011,29,0.148514851485149,1,1,FALSE,"off",0
"2",0.0169423868663686,1,0.0099009900990099,2,1,FALSE,"off",0
"2.1",0.0229478942719545,3,0.0198019801980198,2,1,FALSE,"off",0
"2.2",0.0223879593803299,5,0.0297029702970297,2,1,FALSE,"off",0
"2.3",0.0171829304124366,7,0.0396039603960396,2,1,FALSE,"off",0
"2.4",0.0114789970238316,9,0.0495049504950495,2,1,FALSE,"off",0
"2.5",0.0120998480427241,11,0.0594059405940594,2,1,FALSE,"off",0
"2.6",0.0113079659049247,13,0.0693069306930693,2,1,FALSE,"off",0
"2.7",0.0112360052409794,15,0.0792079207920792,2,1,FALSE,"off",0
"2.8",0.0112211076610372,17,0.0891089108910891,2,1,FALSE,"off",0
"2.9",0.00894036034514811,19,0.099009900990099,2,1,FALSE,"off",0
"2.10",0.00715220060297403,21,0.108910891089109,2,1,FALSE,"off",0
"2.11",0.00636851601296176,23,0.118811881188119,2,1,FALSE,"off",0
"2.12",0.00498977360142545,25,0.128712871287129,2,1,FALSE,"off",0
"2.13",0.00455072839100483,27,0.138613861386139,2,1,FALSE,"off",0
"2.14",0.0036319467783942,29,0.148514851485149,2,1,FALSE,"off",0
"3",0.016336968278722,1,0.0099009900990099,3,1,FALSE,"off",0
"3.1",0.0215883913687537,3,0.0198019801980198,3,1,FALSE,"off",0
"3.2",0.0205129954246784,5,0.0297029702970297,3,1,FALSE,"off",0
"3.3",0.0150796345142536,7,0.0396039603960396,3,1,FALSE,"off",0
"3.4",0.0104076299579088,9,0.0495049504950495,3,1,FALSE,"off",0
"3.5",0.0110650504197192,11,0.0594059405940594,3,1,FALSE,"off",0
"3.6",0.0108108694319231,13,0.0693069306930693,3,1,FALSE,"off",0
"3.7",0.0111687634548165,15,0.0792079207920792,3,1,FALSE,"off",0
"3.8",0.01099128406062,17,0.0891089108910891,3,1,FALSE,"off",0
"3.9",0.00874784830976547,19,0.099009900990099,3,1,FALSE,"off",0
"3.10",0.00726425852956552,21,0.108910891089109,3,1,FALSE,"off",0
"3.11",0.00638679062322048,23,0.118811881188119,3,1,FALSE,"off",0
"3.12",0.00544790833608688,25,0.128712871287129,3,1,FALSE,"off",0
"3.13",0.0048884147300748,27,0.138613861386139,3,1,FALSE,"off",0
"3.14",0.00412589859711234,29,0.148514851485149,3,1,FALSE,"off",0
"4",0.0173434349586921,1,0.0099009900990099,4,1,FALSE,"off",0
"4.1",0.023454574375593,3,0.0198019801980198,4,1,FALSE,"off",0
"4.2",0.023378063157488,5,0.0297029702970297,4,1,FALSE,"off",0
"4.3",0.0182558459210307,7,0.0396039603960396,4,1,FALSE,"off",0
"4.4",0.0122798448271424,9,0.0495049504950495,4,1,FALSE,"off",0
"4.5",0.0125333390820552,11,0.0594059405940594,4,1,FALSE,"off",0
"4.6",0.0115193546692203,13,0.0693069306930693,4,1,FALSE,"off",0
"4.7",0.0117371138942805,15,0.0792079207920792,4,1,FALSE,"off",0
"4.8",0.0115440974467,17,0.0891089108910891,4,1,FALSE,"off",0
"4.9",0.00941271625067554,19,0.099009900990099,4,1,FALSE,"off",0
"4.10",0.00747574448504753,21,0.108910891089109,4,1,FALSE,"off",0
"4.11",0.00641822609555636,23,0.118811881188119,4,1,FALSE,"off",0
"4.12",0.00520011239542118,25,0.128712871287129,4,1,FALSE,"off",0
"4.13",0.00482235259293916,27,0.138613861386139,4,1,FALSE,"off",0
"4.14",0.00362300478867141,29,0.148514851485149,4,1,FALSE,"off",0
"5",0.0161423210373369,1,0.0099009900990099,5,1,FALSE,"off",0
"5.1",0.0210559182551958,3,0.0198019801980198,5,1,FALSE,"off",0
"5.2",0.0197440211963026,5,0.0297029702970297,5,1,FALSE,"off",0
"5.3",0.0141928270684242,7,0.0396039603960396,5,1,FALSE,"off",0
"5.4",0.00983819366800349,9,0.0495049504950495,5,1,FALSE,"off",0
"5.5",0.0110418750767639,11,0.0594059405940594,5,1,FALSE,"off",0
"5.6",0.0107024970856648,13,0.0693069306930693,5,1,FALSE,"off",0
"5.7",0.0109884961522319,15,0.0792079207920792,5,1,FALSE,"off",0
"5.8",0.0102694751555639,17,0.0891089108910891,5,1,FALSE,"off",0
"5.9",0.00831428320494536,19,0.099009900990099,5,1,FALSE,"off",0
"5.10",0.00668326847249935,21,0.108910891089109,5,1,FALSE,"off",0
"5.11",0.00618705945977499,23,0.118811881188119,5,1,FALSE,"off",0
"5.12",0.00518331628885344,25,0.128712871287129,5,1,FALSE,"off",0
"5.13",0.0046582124563524,27,0.138613861386139,5,1,FALSE,"off",0
"5.14",0.00392078159839435,29,0.148514851485149,5,1,FALSE,"off",0
"6",0.0162050793912073,1,0.0099009900990099,6,1,FALSE,"off",0
"6.1",0.0212838044997086,3,0.0198019801980198,6,1,FALSE,"off",0
"6.2",0.0200597152402551,5,0.0297029702970297,6,1,FALSE,"off",0
"6.3",0.0144054839062661,7,0.0396039603960396,6,1,FALSE,"off",0
"6.4",0.010055425785959,9,0.0495049504950495,6,1,FALSE,"off",0
"6.5",0.0109575133492871,11,0.0594059405940594,6,1,FALSE,"off",0
"6.6",0.0102368637231366,13,0.0693069306930693,6,1,FALSE,"off",0
"6.7",0.010498532232542,15,0.0792079207920792,6,1,FALSE,"off",0
"6.8",0.0101702137093,17,0.0891089108910891,6,1,FALSE,"off",0
"6.9",0.00799498368451511,19,0.099009900990099,6,1,FALSE,"off",0
"6.10",0.00640372266208977,21,0.108910891089109,6,1,FALSE,"off",0
"6.11",0.00577326259001357,23,0.118811881188119,6,1,FALSE,"off",0
"6.12",0.00471678555710486,25,0.128712871287129,6,1,FALSE,"off",0
"6.13",0.0039958961745825,27,0.138613861386139,6,1,FALSE,"off",0
"6.14",0.00349874095539167,29,0.148514851485149,6,1,FALSE,"off",0
"7",0.0165783873555941,1,0.0099009900990099,7,1,FALSE,"off",0
"7.1",0.022031758201576,3,0.0198019801980198,7,1,FALSE,"off",0
"7.2",0.0212761710805484,5,0.0297029702970297,7,1,FALSE,"off",0
"7.3",0.0157868874617034,7,0.0396039603960396,7,1,FALSE,"off",0
"7.4",0.010851520832358,9,0.0495049504950495,7,1,FALSE,"off",0
"7.5",0.0116981566664634,11,0.0594059405940594,7,1,FALSE,"off",0
"7.6",0.0108269205066582,13,0.0693069306930693,7,1,FALSE,"off",0
"7.7",0.0114141679541697,15,0.0792079207920792,7,1,FALSE,"off",0
"7.8",0.0106580688196128,17,0.0891089108910891,7,1,FALSE,"off",0
"7.9",0.00869225842836418,19,0.099009900990099,7,1,FALSE,"off",0
"7.10",0.00705904621926658,21,0.108910891089109,7,1,FALSE,"off",0
"7.11",0.00603929828780219,23,0.118811881188119,7,1,FALSE,"off",0
"7.12",0.00512969137377775,25,0.128712871287129,7,1,FALSE,"off",0
"7.13",0.00445033206465814,27,0.138613861386139,7,1,FALSE,"off",0
"7.14",0.00375351919355746,29,0.148514851485149,7,1,FALSE,"off",0
"8",0.0161579310221026,1,0.0099009900990099,8,1,FALSE,"off",0
"8.1",0.0208819442666009,3,0.0198019801980198,8,1,FALSE,"off",0
"8.2",0.0199910347677604,5,0.0297029702970297,8,1,FALSE,"off",0
"8.3",0.0142829302289557,7,0.0396039603960396,8,1,FALSE,"off",0
"8.4",0.00956407251672866,9,0.0495049504950495,8,1,FALSE,"off",0
"8.5",0.0109580860178475,11,0.0594059405940594,8,1,FALSE,"off",0
"8.6",0.00994074792686137,13,0.0693069306930693,8,1,FALSE,"off",0
"8.7",0.0106748011477561,15,0.0792079207920792,8,1,FALSE,"off",0
"8.8",0.0101566333195063,17,0.0891089108910891,8,1,FALSE,"off",0
"8.9",0.00814606842610547,19,0.099009900990099,8,1,FALSE,"off",0
"8.10",0.00646167043860183,21,0.108910891089109,8,1,FALSE,"off",0
"8.11",0.00592790401660357,23,0.118811881188119,8,1,FALSE,"off",0
"8.12",0.00469070286143569,25,0.128712871287129,8,1,FALSE,"off",0
"8.13",0.00402429383004091,27,0.138613861386139,8,1,FALSE,"off",0
"8.14",0.00337149595370181,29,0.148514851485149,8,1,FALSE,"off",0
"9",0.0167833374652486,1,0.0099009900990099,9,1,FALSE,"off",0
"9.1",0.0216696966658978,3,0.0198019801980198,9,1,FALSE,"off",0
"9.2",0.0209441117007041,5,0.0297029702970297,9,1,FALSE,"off",0
"9.3",0.0153414702233429,7,0.0396039603960396,9,1,FALSE,"off",0
"9.4",0.0105984614541882,9,0.0495049504950495,9,1,FALSE,"off",0
"9.5",0.0116288808176367,11,0.0594059405940594,9,1,FALSE,"off",0
"9.6",0.0108018866052913,13,0.0693069306930693,9,1,FALSE,"off",0
"9.7",0.0112411605582477,15,0.0792079207920792,9,1,FALSE,"off",0
"9.8",0.0108016832251928,17,0.0891089108910891,9,1,FALSE,"off",0
"9.9",0.00862065713746513,19,0.099009900990099,9,1,FALSE,"off",0
"9.10",0.00705144510057743,21,0.108910891089109,9,1,FALSE,"off",0
"9.11",0.00634380366631987,23,0.118811881188119,9,1,FALSE,"off",0
"9.12",0.00527644328331567,25,0.128712871287129,9,1,FALSE,"off",0
"9.13",0.00465184796143147,27,0.138613861386139,9,1,FALSE,"off",0
"9.14",0.00393620978864636,29,0.148514851485149,9,1,FALSE,"off",0
"10",0.0165085995035307,1,0.0099009900990099,10,1,FALSE,"off",0
"10.1",0.0220305748969067,3,0.0198019801980198,10,1,FALSE,"off",0
"10.2",0.0211348790333352,5,0.0297029702970297,10,1,FALSE,"off",0
"10.3",0.0156848585426363,7,0.0396039603960396,10,1,FALSE,"off",0
"10.4",0.0106705218880025,9,0.0495049504950495,10,1,FALSE,"off",0
"10.5",0.0117861462475996,11,0.0594059405940594,10,1,FALSE,"off",0
"10.6",0.0109544571191382,13,0.0693069306930693,10,1,FALSE,"off",0
"10.7",0.0112452701428818,15,0.0792079207920792,10,1,FALSE,"off",0
"10.8",0.0107812916364674,17,0.0891089108910891,10,1,FALSE,"off",0
"10.9",0.00874371681947763,19,0.099009900990099,10,1,FALSE,"off",0
"10.10",0.0069946750393336,21,0.108910891089109,10,1,FALSE,"off",0
"10.11",0.0064228912124814,23,0.118811881188119,10,1,FALSE,"off",0
"10.12",0.00524197154982992,25,0.128712871287129,10,1,FALSE,"off",0
"10.13",0.00471171519667644,27,0.138613861386139,10,1,FALSE,"off",0
"10.14",0.00360989962383305,29,0.148514851485149,10,1,FALSE,"off",0
"11",0.0197231956790148,1,0.0099009900990099,11,1,FALSE,"random",0
"11.1",0.0268848092803066,3,0.0198019801980198,11,1,FALSE,"random",0
"11.2",0.0284060512860648,5,0.0297029702970297,11,1,FALSE,"random",0
"11.3",0.0245674044658419,7,0.0396039603960396,11,1,FALSE,"random",0
"11.4",0.020935192368932,9,0.0495049504950495,11,1,FALSE,"random",0
"11.5",0.0187536896440265,11,0.0594059405940594,11,1,FALSE,"random",0
"11.6",0.0182182734556221,13,0.0693069306930693,11,1,FALSE,"random",0
"11.7",0.017503911202335,15,0.0792079207920792,11,1,FALSE,"random",0
"11.8",0.0176045342501836,17,0.0891089108910891,11,1,FALSE,"random",0
"11.9",0.0171360232673268,19,0.099009900990099,11,1,FALSE,"random",0
"11.10",0.0122948566723002,21,0.108910891089109,11,1,FALSE,"random",0
"11.11",0.0102845762832381,23,0.118811881188119,11,1,FALSE,"random",0
"11.12",0.00817127116318771,25,0.128712871287129,11,1,FALSE,"random",0
"11.13",0.00678962462357163,27,0.138613861386139,11,1,FALSE,"random",0
"11.14",0.00521207028087969,29,0.148514851485149,11,1,FALSE,"random",0
"12",0.0197387206659442,1,0.0099009900990099,12,1,FALSE,"random",0
"12.1",0.0267999038822838,3,0.0198019801980198,12,1,FALSE,"random",0
"12.2",0.0282661533503172,5,0.0297029702970297,12,1,FALSE,"random",0
"12.3",0.0246821732888198,7,0.0396039603960396,12,1,FALSE,"random",0
"12.4",0.0211111135187229,9,0.0495049504950495,12,1,FALSE,"random",0
"12.5",0.0188978780149992,11,0.0594059405940594,12,1,FALSE,"random",0
"12.6",0.0184288199596202,13,0.0693069306930693,12,1,FALSE,"random",0
"12.7",0.0178560564965865,15,0.0792079207920792,12,1,FALSE,"random",0
"12.8",0.0177459729309339,17,0.0891089108910891,12,1,FALSE,"random",0
"12.9",0.016934083520929,19,0.099009900990099,12,1,FALSE,"random",0
"12.10",0.011847195616513,21,0.108910891089109,12,1,FALSE,"random",0
"12.11",0.00985258334582546,23,0.118811881188119,12,1,FALSE,"random",0
"12.12",0.00795937565542215,25,0.128712871287129,12,1,FALSE,"random",0
"12.13",0.00687672988881671,27,0.138613861386139,12,1,FALSE,"random",0
"12.14",0.00527495427397008,29,0.148514851485149,12,1,FALSE,"random",0
"13",0.0198535995130042,1,0.0099009900990099,13,1,FALSE,"random",0
"13.1",0.0270499320629295,3,0.0198019801980198,13,1,FALSE,"random",0
"13.2",0.028807016625141,5,0.0297029702970297,13,1,FALSE,"random",0
"13.3",0.0252670687448194,7,0.0396039603960396,13,1,FALSE,"random",0
"13.4",0.0215093371735168,9,0.0495049504950495,13,1,FALSE,"random",0
"13.5",0.0187671587041234,11,0.0594059405940594,13,1,FALSE,"random",0
"13.6",0.0177691761679226,13,0.0693069306930693,13,1,FALSE,"random",0
"13.7",0.016882055110819,15,0.0792079207920792,13,1,FALSE,"random",0
"13.8",0.0167012683700667,17,0.0891089108910891,13,1,FALSE,"random",0
"13.9",0.0160346715320931,19,0.099009900990099,13,1,FALSE,"random",0
"13.10",0.0117365647730762,21,0.108910891089109,13,1,FALSE,"random",0
"13.11",0.00989905451407268,23,0.118811881188119,13,1,FALSE,"random",0
"13.12",0.00799139249896194,25,0.128712871287129,13,1,FALSE,"random",0
"13.13",0.00675129987843867,27,0.138613861386139,13,1,FALSE,"random",0
"13.14",0.00519027878464016,29,0.148514851485149,13,1,FALSE,"random",0
"14",0.0198282367828062,1,0.0099009900990099,14,1,FALSE,"random",0
"14.1",0.0269227782593628,3,0.0198019801980198,14,1,FALSE,"random",0
"14.2",0.0284378700295397,5,0.0297029702970297,14,1,FALSE,"random",0
"14.3",0.0248723404572612,7,0.0396039603960396,14,1,FALSE,"random",0
"14.4",0.0215915923314252,9,0.0495049504950495,14,1,FALSE,"random",0
"14.5",0.019312311336331,11,0.0594059405940594,14,1,FALSE,"random",0
"14.6",0.0185862929781974,13,0.0693069306930693,14,1,FALSE,"random",0
"14.7",0.0176320444157916,15,0.0792079207920792,14,1,FALSE,"random",0
"14.8",0.0177150970689417,17,0.0891089108910891,14,1,FALSE,"random",0
"14.9",0.0168763920608723,19,0.099009900990099,14,1,FALSE,"random",0
"14.10",0.012286972178712,21,0.108910891089109,14,1,FALSE,"random",0
"14.11",0.00986484430952242,23,0.118811881188119,14,1,FALSE,"random",0
"14.12",0.00777938355253152,25,0.128712871287129,14,1,FALSE,"random",0
"14.13",0.00634969544476252,27,0.138613861386139,14,1,FALSE,"random",0
"14.14",0.00476742134081828,29,0.148514851485149,14,1,FALSE,"random",0
"15",0.0200383328162001,1,0.0099009900990099,15,1,FALSE,"random",0
"15.1",0.0270191221019595,3,0.0198019801980198,15,1,FALSE,"random",0
"15.2",0.0284909114227428,5,0.0297029702970297,15,1,FALSE,"random",0
"15.3",0.0249916708947427,7,0.0396039603960396,15,1,FALSE,"random",0
"15.4",0.0213447986315736,9,0.0495049504950495,15,1,FALSE,"random",0
"15.5",0.0190233921566958,11,0.0594059405940594,15,1,FALSE,"random",0
"15.6",0.0182812065922079,13,0.0693069306930693,15,1,FALSE,"random",0
"15.7",0.0174883893763791,15,0.0792079207920792,15,1,FALSE,"random",0
"15.8",0.0176196786130573,17,0.0891089108910891,15,1,FALSE,"random",0
"15.9",0.0170311266462394,19,0.099009900990099,15,1,FALSE,"random",0
"15.10",0.012207366858726,21,0.108910891089109,15,1,FALSE,"random",0
"15.11",0.0099578839751924,23,0.118811881188119,15,1,FALSE,"random",0
"15.12",0.00785542127971374,25,0.128712871287129,15,1,FALSE,"random",0
"15.13",0.00654404186626489,27,0.138613861386139,15,1,FALSE,"random",0
"15.14",0.00528574353368554,29,0.148514851485149,15,1,FALSE,"random",0
"16",0.0197409595160015,1,0.0099009900990099,16,1,FALSE,"random",0
"16.1",0.0268852550139411,3,0.0198019801980198,16,1,FALSE,"random",0
"16.2",0.0282123002594947,5,0.0297029702970297,16,1,FALSE,"random",0
"16.3",0.0246211067992262,7,0.0396039603960396,16,1,FALSE,"random",0
"16.4",0.0208590754674516,9,0.0495049504950495,16,1,FALSE,"random",0
"16.5",0.0187628858728728,11,0.0594059405940594,16,1,FALSE,"random",0
"16.6",0.018081303210964,13,0.0693069306930693,16,1,FALSE,"random",0
"16.7",0.0175113746849378,15,0.0792079207920792,16,1,FALSE,"random",0
