"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.dist","Num.nursery","Mimicry","Constraints","step"
"1",0.0295082906782201,1,0.0099009900990099,1,"equal",0,3,1,TRUE,"off",99
"1.1",0.033599572485951,3,0.0198019801980198,1,"equal",0,3,1,TRUE,"off",99
"1.2",0.0238775879416515,5,0.0297029702970297,1,"equal",0,3,1,TRUE,"off",99
"1.3",0.0136923674230988,7,0.0396039603960396,1,"equal",0,3,1,TRUE,"off",99
"1.4",0.00839955505856249,9,0.0495049504950495,1,"equal",0,3,1,TRUE,"off",99
"1.5",0.00651799227799128,11,0.0594059405940594,1,"equal",0,3,1,TRUE,"off",99
"1.6",0.00508780368785522,13,0.0693069306930693,1,"equal",0,3,1,TRUE,"off",99
"1.7",0.00448370154029568,15,0.0792079207920792,1,"equal",0,3,1,TRUE,"off",99
"1.8",0.00427260557903449,17,0.0891089108910891,1,"equal",0,3,1,TRUE,"off",99
"1.9",0.00459823389052535,19,0.099009900990099,1,"equal",0,3,1,TRUE,"off",99
"1.10",0.00642301069988636,21,0.108910891089109,1,"equal",0,3,1,TRUE,"off",99
"1.11",0.00648476030109014,23,0.118811881188119,1,"equal",0,3,1,TRUE,"off",99
"1.12",0.00707668773620024,25,0.128712871287129,1,"equal",0,3,1,TRUE,"off",99
"1.13",0.0070703062712961,27,0.138613861386139,1,"equal",0,3,1,TRUE,"off",99
"1.14",0.0072820362111625,29,0.148514851485149,1,"equal",0,3,1,TRUE,"off",99
"2",0.0321934678036061,1,0.0099009900990099,2,"equal",0,3,1,TRUE,"off",99
"2.1",0.0365713013503089,3,0.0198019801980198,2,"equal",0,3,1,TRUE,"off",99
"2.2",0.0264829991537332,5,0.0297029702970297,2,"equal",0,3,1,TRUE,"off",99
"2.3",0.0160412602723537,7,0.0396039603960396,2,"equal",0,3,1,TRUE,"off",99
"2.4",0.00961259276895061,9,0.0495049504950495,2,"equal",0,3,1,TRUE,"off",99
"2.5",0.00575689846113376,11,0.0594059405940594,2,"equal",0,3,1,TRUE,"off",99
"2.6",0.00195866428122271,13,0.0693069306930693,2,"equal",0,3,1,TRUE,"off",99
"2.7",0.000298645162666396,15,0.316831683168317,2,"equal",0,3,1,TRUE,"off",99
"2.8",-0.000248392501670818,17,0.475247524752475,2,"equal",0,3,1,TRUE,"off",99
"2.9",-0.000180150527518,19,0.712871287128713,2,"equal",0,3,1,TRUE,"off",99
"2.10",0.00138624756205033,21,0.108910891089109,2,"equal",0,3,1,TRUE,"off",99
"2.11",0.000447758202882867,23,0.752475247524752,2,"equal",0,3,1,TRUE,"off",99
"2.12",-5.24690218689955e-05,25,0.95049504950495,2,"equal",0,3,1,TRUE,"off",99
"2.13",-0.000567558317858324,27,0.712871287128713,2,"equal",0,3,1,TRUE,"off",99
"2.14",-0.000378565635647812,29,1,2,"equal",0,3,1,TRUE,"off",99
"3",0.0265425361847196,1,0.0099009900990099,3,"equal",0,3,1,TRUE,"off",99
"3.1",0.0295530268311985,3,0.0198019801980198,3,"equal",0,3,1,TRUE,"off",99
"3.2",0.0204719217580916,5,0.0297029702970297,3,"equal",0,3,1,TRUE,"off",99
"3.3",0.0113346853071337,7,0.0396039603960396,3,"equal",0,3,1,TRUE,"off",99
"3.4",0.00613540788428302,9,0.0495049504950495,3,"equal",0,3,1,TRUE,"off",99
"3.5",0.00360369026516839,11,0.0594059405940594,3,"equal",0,3,1,TRUE,"off",99
"3.6",0.00118272870860971,13,0.0693069306930693,3,"equal",0,3,1,TRUE,"off",99
"3.7",0.000409369648119808,15,0.128712871287129,3,"equal",0,3,1,TRUE,"off",99
"3.8",0.000769851423689097,17,0.0891089108910891,3,"equal",0,3,1,TRUE,"off",99
"3.9",0.00117344155652243,19,0.099009900990099,3,"equal",0,3,1,TRUE,"off",99
"3.10",0.00201594287882008,21,0.108910891089109,3,"equal",0,3,1,TRUE,"off",99
"3.11",0.00130769111166835,23,0.118811881188119,3,"equal",0,3,1,TRUE,"off",99
"3.12",0.00126754130779593,25,0.128712871287129,3,"equal",0,3,1,TRUE,"off",99
"3.13",0.00107317503239434,27,0.138613861386139,3,"equal",0,3,1,TRUE,"off",99
"3.14",0.0013254740673189,29,0.148514851485149,3,"equal",0,3,1,TRUE,"off",99
"4",0.0287563079576055,1,0.0099009900990099,4,"equal",0,3,1,TRUE,"off",99
"4.1",0.0318711891621437,3,0.0198019801980198,4,"equal",0,3,1,TRUE,"off",99
"4.2",0.0216843647043685,5,0.0297029702970297,4,"equal",0,3,1,TRUE,"off",99
"4.3",0.0120287401473477,7,0.0396039603960396,4,"equal",0,3,1,TRUE,"off",99
"4.4",0.00715164236216797,9,0.0495049504950495,4,"equal",0,3,1,TRUE,"off",99
"4.5",0.00524866010746711,11,0.0594059405940594,4,"equal",0,3,1,TRUE,"off",99
"4.6",0.00300598766204699,13,0.0693069306930693,4,"equal",0,3,1,TRUE,"off",99
"4.7",0.00237777732482817,15,0.0792079207920792,4,"equal",0,3,1,TRUE,"off",99
"4.8",0.00246204059476318,17,0.0891089108910891,4,"equal",0,3,1,TRUE,"off",99
"4.9",0.00250853531097056,19,0.099009900990099,4,"equal",0,3,1,TRUE,"off",99
"4.10",0.00360232548209147,21,0.108910891089109,4,"equal",0,3,1,TRUE,"off",99
"4.11",0.00229852090874104,23,0.118811881188119,4,"equal",0,3,1,TRUE,"off",99
"4.12",0.00224293378571652,25,0.128712871287129,4,"equal",0,3,1,TRUE,"off",99
"4.13",0.00240777481689196,27,0.138613861386139,4,"equal",0,3,1,TRUE,"off",99
"4.14",0.00254368786341885,29,0.148514851485149,4,"equal",0,3,1,TRUE,"off",99
"5",0.0309040594502722,1,0.0099009900990099,5,"equal",0,3,1,TRUE,"off",99
"5.1",0.0353500181857562,3,0.0198019801980198,5,"equal",0,3,1,TRUE,"off",99
"5.2",0.0266653381044295,5,0.0297029702970297,5,"equal",0,3,1,TRUE,"off",99
"5.3",0.0164993574059645,7,0.0396039603960396,5,"equal",0,3,1,TRUE,"off",99
"5.4",0.010563230742512,9,0.0495049504950495,5,"equal",0,3,1,TRUE,"off",99
"5.5",0.00758316413024457,11,0.0594059405940594,5,"equal",0,3,1,TRUE,"off",99
"5.6",0.0048784329102708,13,0.0693069306930693,5,"equal",0,3,1,TRUE,"off",99
"5.7",0.00393441236160277,15,0.0792079207920792,5,"equal",0,3,1,TRUE,"off",99
"5.8",0.00359487192792994,17,0.0891089108910891,5,"equal",0,3,1,TRUE,"off",99
"5.9",0.00285628999554479,19,0.099009900990099,5,"equal",0,3,1,TRUE,"off",99
"5.10",0.00329180882845878,21,0.108910891089109,5,"equal",0,3,1,TRUE,"off",99
"5.11",0.00142844323179595,23,0.118811881188119,5,"equal",0,3,1,TRUE,"off",99
"5.12",0.000699768726096035,25,0.128712871287129,5,"equal",0,3,1,TRUE,"off",99
"5.13",0.000202477923135573,27,0.346534653465347,5,"equal",0,3,1,TRUE,"off",99
"5.14",-0.000671814586507518,29,0.267326732673267,5,"equal",0,3,1,TRUE,"off",99
"6",0.0303442741906944,1,0.0099009900990099,6,"equal",0,3,1,TRUE,"off",87
"6.1",0.034345364175615,3,0.0198019801980198,6,"equal",0,3,1,TRUE,"off",87
"6.2",0.0244505471427633,5,0.0297029702970297,6,"equal",0,3,1,TRUE,"off",87
"6.3",0.0137541108645001,7,0.0396039603960396,6,"equal",0,3,1,TRUE,"off",87
"6.4",0.00707426643148946,9,0.0495049504950495,6,"equal",0,3,1,TRUE,"off",87
"6.5",0.00365450694352659,11,0.0594059405940594,6,"equal",0,3,1,TRUE,"off",87
"6.6",0.000214364445484244,13,0.237623762376238,6,"equal",0,3,1,TRUE,"off",87
"6.7",-0.00127934306690314,15,0.0792079207920792,6,"equal",0,3,1,TRUE,"off",87
"6.8",-0.00185321413734427,17,0.0891089108910891,6,"equal",0,3,1,TRUE,"off",87
"6.9",-0.00234059430212897,19,0.099009900990099,6,"equal",0,3,1,TRUE,"off",87
"6.10",-0.00136808786689415,21,0.108910891089109,6,"equal",0,3,1,TRUE,"off",87
"6.11",-0.00163176615517215,23,0.118811881188119,6,"equal",0,3,1,TRUE,"off",87
"6.12",-0.00152767440391458,25,0.128712871287129,6,"equal",0,3,1,TRUE,"off",87
"6.13",-0.00111464134200177,27,0.138613861386139,6,"equal",0,3,1,TRUE,"off",87
"6.14",-0.000955666819009735,29,0.148514851485149,6,"equal",0,3,1,TRUE,"off",87
"7",0.0291710158421138,1,0.0099009900990099,7,"equal",0,3,1,TRUE,"off",99
"7.1",0.0324219712691685,3,0.0198019801980198,7,"equal",0,3,1,TRUE,"off",99
"7.2",0.0213102510927974,5,0.0297029702970297,7,"equal",0,3,1,TRUE,"off",99
"7.3",0.0106511833772934,7,0.0396039603960396,7,"equal",0,3,1,TRUE,"off",99
"7.4",0.00451656974426985,9,0.0495049504950495,7,"equal",0,3,1,TRUE,"off",99
"7.5",0.00196510275070398,11,0.0594059405940594,7,"equal",0,3,1,TRUE,"off",99
"7.6",-0.00053183009151496,13,0.0693069306930693,7,"equal",0,3,1,TRUE,"off",99
"7.7",-0.000962796940128298,15,0.0792079207920792,7,"equal",0,3,1,TRUE,"off",99
"7.8",-0.000675356971553623,17,0.118811881188119,7,"equal",0,3,1,TRUE,"off",99
"7.9",-0.000640380130916984,19,0.118811881188119,7,"equal",0,3,1,TRUE,"off",99
"7.10",0.000227757340345281,21,0.326732673267327,7,"equal",0,3,1,TRUE,"off",99
"7.11",-0.000277003509727352,23,0.534653465346535,7,"equal",0,3,1,TRUE,"off",99
"7.12",-0.000187982193942053,25,0.801980198019802,7,"equal",0,3,1,TRUE,"off",99
"7.13",0.000172455550501929,27,1,7,"equal",0,3,1,TRUE,"off",99
"7.14",0.000248324670451415,29,1,7,"equal",0,3,1,TRUE,"off",99
"8",0.0303990460765759,1,0.0099009900990099,8,"equal",0,3,1,TRUE,"off",99
"8.1",0.0343060722865019,3,0.0198019801980198,8,"equal",0,3,1,TRUE,"off",99
"8.2",0.0248956202256903,5,0.0297029702970297,8,"equal",0,3,1,TRUE,"off",99
"8.3",0.0144966148405377,7,0.0396039603960396,8,"equal",0,3,1,TRUE,"off",99
"8.4",0.00804354751674042,9,0.0495049504950495,8,"equal",0,3,1,TRUE,"off",99
"8.5",0.00455345099086185,11,0.0594059405940594,8,"equal",0,3,1,TRUE,"off",99
"8.6",0.00183245209353606,13,0.0693069306930693,8,"equal",0,3,1,TRUE,"off",99
"8.7",0.000805900773017962,15,0.0792079207920792,8,"equal",0,3,1,TRUE,"off",99
"8.8",0.000657898944487487,17,0.0891089108910891,8,"equal",0,3,1,TRUE,"off",99
"8.9",0.00104139136352339,19,0.099009900990099,8,"equal",0,3,1,TRUE,"off",99
"8.10",0.00220203225949661,21,0.108910891089109,8,"equal",0,3,1,TRUE,"off",99
"8.11",0.0012655986343099,23,0.118811881188119,8,"equal",0,3,1,TRUE,"off",99
"8.12",0.00092395333077259,25,0.128712871287129,8,"equal",0,3,1,TRUE,"off",99
"8.13",0.000244453907128757,27,0.247524752475248,8,"equal",0,3,1,TRUE,"off",99
"8.14",-0.000316666839044816,29,0.495049504950495,8,"equal",0,3,1,TRUE,"off",99
"9",0.0291739509453237,1,0.0099009900990099,9,"equal",0,3,1,TRUE,"off",99
"9.1",0.0330679290517502,3,0.0198019801980198,9,"equal",0,3,1,TRUE,"off",99
"9.2",0.0235950932590524,5,0.0297029702970297,9,"equal",0,3,1,TRUE,"off",99
"9.3",0.0133797745403509,7,0.0396039603960396,9,"equal",0,3,1,TRUE,"off",99
"9.4",0.00714629958000654,9,0.0495049504950495,9,"equal",0,3,1,TRUE,"off",99
"9.5",0.00441053448221602,11,0.0594059405940594,9,"equal",0,3,1,TRUE,"off",99
"9.6",0.00255660526961314,13,0.0693069306930693,9,"equal",0,3,1,TRUE,"off",99
"9.7",0.00237628708533301,15,0.0792079207920792,9,"equal",0,3,1,TRUE,"off",99
"9.8",0.00228780953901103,17,0.0891089108910891,9,"equal",0,3,1,TRUE,"off",99
"9.9",0.00185265414071947,19,0.099009900990099,9,"equal",0,3,1,TRUE,"off",99
"9.10",0.00227456286321377,21,0.108910891089109,9,"equal",0,3,1,TRUE,"off",99
"9.11",0.0004168591685855,23,0.207920792079208,9,"equal",0,3,1,TRUE,"off",99
"9.12",5.19229849853509e-05,25,0.514851485148515,9,"equal",0,3,1,TRUE,"off",99
"9.13",-3.10368192526999e-05,27,1,9,"equal",0,3,1,TRUE,"off",99
"9.14",-0.000182244946551221,29,1,9,"equal",0,3,1,TRUE,"off",99
"10",0.0299218191876344,1,0.0099009900990099,10,"equal",0,3,1,TRUE,"off",99
"10.1",0.0344784880203589,3,0.0198019801980198,10,"equal",0,3,1,TRUE,"off",99
"10.2",0.0253721497323625,5,0.0297029702970297,10,"equal",0,3,1,TRUE,"off",99
"10.3",0.0155120147939852,7,0.0396039603960396,10,"equal",0,3,1,TRUE,"off",99
"10.4",0.00937428541696136,9,0.0495049504950495,10,"equal",0,3,1,TRUE,"off",99
"10.5",0.00644209128747142,11,0.0594059405940594,10,"equal",0,3,1,TRUE,"off",99
"10.6",0.00409081774997557,13,0.0693069306930693,10,"equal",0,3,1,TRUE,"off",99
"10.7",0.00299630280060377,15,0.0792079207920792,10,"equal",0,3,1,TRUE,"off",99
"10.8",0.00262501566116036,17,0.0891089108910891,10,"equal",0,3,1,TRUE,"off",99
"10.9",0.00263948907564886,19,0.099009900990099,10,"equal",0,3,1,TRUE,"off",99
"10.10",0.00336240109070494,21,0.108910891089109,10,"equal",0,3,1,TRUE,"off",99
"10.11",0.00253097983161336,23,0.118811881188119,10,"equal",0,3,1,TRUE,"off",99
"10.12",0.00249676929366017,25,0.128712871287129,10,"equal",0,3,1,TRUE,"off",99
"10.13",0.00213559976770747,27,0.138613861386139,10,"equal",0,3,1,TRUE,"off",99
"10.14",0.00168065212999012,29,0.148514851485149,10,"equal",0,3,1,TRUE,"off",99
"11",0.0281908001630792,1,0.0099009900990099,11,"equal",0,3,4,TRUE,"off",99
"11.1",0.0311024654001684,3,0.0198019801980198,11,"equal",0,3,4,TRUE,"off",99
"11.2",0.0210576837024566,5,0.0297029702970297,11,"equal",0,3,4,TRUE,"off",99
"11.3",0.0116170133158741,7,0.0396039603960396,11,"equal",0,3,4,TRUE,"off",99
"11.4",0.00621695368240273,9,0.0495049504950495,11,"equal",0,3,4,TRUE,"off",99
"11.5",0.00400583304795979,11,0.0594059405940594,11,"equal",0,3,4,TRUE,"off",99
"11.6",0.00143833148295687,13,0.0693069306930693,11,"equal",0,3,4,TRUE,"off",99
"11.7",0.000337917186651064,15,0.128712871287129,11,"equal",0,3,4,TRUE,"off",99
"11.8",-0.00018600913387081,17,0.306930693069307,11,"equal",0,3,4,TRUE,"off",99
"11.9",-0.000746435485917639,19,0.099009900990099,11,"equal",0,3,4,TRUE,"off",99
"11.10",-0.000761827892288164,21,0.178217821782178,11,"equal",0,3,4,TRUE,"off",99
"11.11",-0.00244336316661253,23,0.118811881188119,11,"equal",0,3,4,TRUE,"off",99
"11.12",-0.00294606487726236,25,0.128712871287129,11,"equal",0,3,4,TRUE,"off",99
"11.13",-0.00354914169598684,27,0.138613861386139,11,"equal",0,3,4,TRUE,"off",99
"11.14",-0.00438412199649771,29,0.148514851485149,11,"equal",0,3,4,TRUE,"off",99
"12",0.031703332569084,1,0.0099009900990099,12,"equal",0,3,4,TRUE,"off",99
"12.1",0.0356404884622634,3,0.0198019801980198,12,"equal",0,3,4,TRUE,"off",99
"12.2",0.0255195546783574,5,0.0297029702970297,12,"equal",0,3,4,TRUE,"off",99
"12.3",0.0148890054340878,7,0.0396039603960396,12,"equal",0,3,4,TRUE,"off",99
"12.4",0.00863171972448485,9,0.0495049504950495,12,"equal",0,3,4,TRUE,"off",99
"12.5",0.00570457903591962,11,0.0594059405940594,12,"equal",0,3,4,TRUE,"off",99
"12.6",0.00249670417727275,13,0.0693069306930693,12,"equal",0,3,4,TRUE,"off",99
"12.7",0.00117135879511547,15,0.0792079207920792,12,"equal",0,3,4,TRUE,"off",99
"12.8",0.00105987636813047,17,0.0891089108910891,12,"equal",0,3,4,TRUE,"off",99
"12.9",0.00109429106411391,19,0.099009900990099,12,"equal",0,3,4,TRUE,"off",99
"12.10",0.00228083995979888,21,0.108910891089109,12,"equal",0,3,4,TRUE,"off",99
"12.11",0.00179887572882063,23,0.118811881188119,12,"equal",0,3,4,TRUE,"off",99
"12.12",0.00218937696108933,25,0.128712871287129,12,"equal",0,3,4,TRUE,"off",99
"12.13",0.00238025223532667,27,0.138613861386139,12,"equal",0,3,4,TRUE,"off",99
"12.14",0.00229032773574666,29,0.148514851485149,12,"equal",0,3,4,TRUE,"off",99
"13",0.0322588700608704,1,0.0099009900990099,13,"equal",0,3,4,TRUE,"off",99
"13.1",0.036153761996995,3,0.0198019801980198,13,"equal",0,3,4,TRUE,"off",99
"13.2",0.0253769131456631,5,0.0297029702970297,13,"equal",0,3,4,TRUE,"off",99
"13.3",0.0142678045262855,7,0.0396039603960396,13,"equal",0,3,4,TRUE,"off",99
"13.4",0.00719975051595861,9,0.0495049504950495,13,"equal",0,3,4,TRUE,"off",99
"13.5",0.00356279587725564,11,0.0594059405940594,13,"equal",0,3,4,TRUE,"off",99
"13.6",0.000805485889533198,13,0.0693069306930693,13,"equal",0,3,4,TRUE,"off",99
"13.7",4.09381158747608e-05,15,0.495049504950495,13,"equal",0,3,4,TRUE,"off",99
"13.8",3.33296833040214e-05,17,0.772277227722772,13,"equal",0,3,4,TRUE,"off",99
