"","Mantel.local","Class.Index","P.value","run","Num.nursery","Constraints","Mimicry","step"
"1",0.0170169597582567,1,0.0099009900990099,1,1,"off",FALSE,0
"1.1",0.0226754133841615,3,0.0198019801980198,1,1,"off",FALSE,0
"1.2",0.0222490464347966,5,0.0297029702970297,1,1,"off",FALSE,0
"1.3",0.0168785937223584,7,0.0396039603960396,1,1,"off",FALSE,0
"1.4",0.0117363274534513,9,0.0495049504950495,1,1,"off",FALSE,0
"1.5",0.0122641133688781,11,0.0594059405940594,1,1,"off",FALSE,0
"1.6",0.0116058950072413,13,0.0693069306930693,1,1,"off",FALSE,0
"1.7",0.0118010052413539,15,0.0792079207920792,1,1,"off",FALSE,0
"1.8",0.0116781677083597,17,0.0891089108910891,1,1,"off",FALSE,0
"1.9",0.00930465223955559,19,0.099009900990099,1,1,"off",FALSE,0
"1.10",0.00746657500926079,21,0.108910891089109,1,1,"off",FALSE,0
"1.11",0.00687208110618913,23,0.118811881188119,1,1,"off",FALSE,0
"1.12",0.00575053123142672,25,0.128712871287129,1,1,"off",FALSE,0
"1.13",0.0052595809462716,27,0.138613861386139,1,1,"off",FALSE,0
"1.14",0.00413974036954654,29,0.148514851485149,1,1,"off",FALSE,0
"2",0.0165384257793735,1,0.0099009900990099,2,1,"off",FALSE,0
"2.1",0.0213561913595252,3,0.0198019801980198,2,1,"off",FALSE,0
"2.2",0.0204446256948382,5,0.0297029702970297,2,1,"off",FALSE,0
"2.3",0.0147587465434148,7,0.0396039603960396,2,1,"off",FALSE,0
"2.4",0.0098743832127146,9,0.0495049504950495,2,1,"off",FALSE,0
"2.5",0.0110361123665177,11,0.0594059405940594,2,1,"off",FALSE,0
"2.6",0.0101336430830714,13,0.0693069306930693,2,1,"off",FALSE,0
"2.7",0.0106468360461185,15,0.0792079207920792,2,1,"off",FALSE,0
"2.8",0.0102703658404665,17,0.0891089108910891,2,1,"off",FALSE,0
"2.9",0.00802355251247607,19,0.099009900990099,2,1,"off",FALSE,0
"2.10",0.00646897851294025,21,0.108910891089109,2,1,"off",FALSE,0
"2.11",0.00579516346008563,23,0.118811881188119,2,1,"off",FALSE,0
"2.12",0.00453326954966182,25,0.128712871287129,2,1,"off",FALSE,0
"2.13",0.00405316405528305,27,0.138613861386139,2,1,"off",FALSE,0
"2.14",0.00314938649532322,29,0.148514851485149,2,1,"off",FALSE,0
"3",0.0169039305562193,1,0.0099009900990099,3,1,"off",FALSE,0
"3.1",0.0226205350902492,3,0.0198019801980198,3,1,"off",FALSE,0
"3.2",0.022161008225515,5,0.0297029702970297,3,1,"off",FALSE,0
"3.3",0.0168601198295932,7,0.0396039603960396,3,1,"off",FALSE,0
"3.4",0.0115031787230856,9,0.0495049504950495,3,1,"off",FALSE,0
"3.5",0.0123028827166359,11,0.0594059405940594,3,1,"off",FALSE,0
"3.6",0.0111954232803462,13,0.0693069306930693,3,1,"off",FALSE,0
"3.7",0.0114462571215497,15,0.0792079207920792,3,1,"off",FALSE,0
"3.8",0.0111450611824931,17,0.0891089108910891,3,1,"off",FALSE,0
"3.9",0.0089882444458871,19,0.099009900990099,3,1,"off",FALSE,0
"3.10",0.00718251444493516,21,0.108910891089109,3,1,"off",FALSE,0
"3.11",0.00656083887363833,23,0.118811881188119,3,1,"off",FALSE,0
"3.12",0.00556796238161404,25,0.128712871287129,3,1,"off",FALSE,0
"3.13",0.00481912212474145,27,0.138613861386139,3,1,"off",FALSE,0
"3.14",0.00382511862042865,29,0.148514851485149,3,1,"off",FALSE,0
"4",0.0170652467914362,1,0.0099009900990099,4,1,"off",FALSE,0
"4.1",0.022975555551226,3,0.0198019801980198,4,1,"off",FALSE,0
"4.2",0.0226819695870053,5,0.0297029702970297,4,1,"off",FALSE,0
"4.3",0.0171978788575072,7,0.0396039603960396,4,1,"off",FALSE,0
"4.4",0.0118560011489075,9,0.0495049504950495,4,1,"off",FALSE,0
"4.5",0.0124972381955458,11,0.0594059405940594,4,1,"off",FALSE,0
"4.6",0.0114927883136262,13,0.0693069306930693,4,1,"off",FALSE,0
"4.7",0.0117026208141035,15,0.0792079207920792,4,1,"off",FALSE,0
"4.8",0.0116986475049031,17,0.0891089108910891,4,1,"off",FALSE,0
"4.9",0.00955311690890095,19,0.099009900990099,4,1,"off",FALSE,0
"4.10",0.00735933357410786,21,0.108910891089109,4,1,"off",FALSE,0
"4.11",0.0068930952415478,23,0.118811881188119,4,1,"off",FALSE,0
"4.12",0.00564225009936788,25,0.128712871287129,4,1,"off",FALSE,0
"4.13",0.00490312672122821,27,0.138613861386139,4,1,"off",FALSE,0
"4.14",0.00398363810128484,29,0.148514851485149,4,1,"off",FALSE,0
"5",0.0173410165079201,1,0.0099009900990099,5,1,"off",FALSE,0
"5.1",0.0234532062109647,3,0.0198019801980198,5,1,"off",FALSE,0
"5.2",0.0231098631755677,5,0.0297029702970297,5,1,"off",FALSE,0
"5.3",0.0180529340045975,7,0.0396039603960396,5,1,"off",FALSE,0
"5.4",0.011977448817562,9,0.0495049504950495,5,1,"off",FALSE,0
"5.5",0.0123338386023429,11,0.0594059405940594,5,1,"off",FALSE,0
"5.6",0.011429008129607,13,0.0693069306930693,5,1,"off",FALSE,0
"5.7",0.011438927416925,15,0.0792079207920792,5,1,"off",FALSE,0
"5.8",0.0116608383224101,17,0.0891089108910891,5,1,"off",FALSE,0
"5.9",0.00935643630145982,19,0.099009900990099,5,1,"off",FALSE,0
"5.10",0.00766564618256653,21,0.108910891089109,5,1,"off",FALSE,0
"5.11",0.0066680891283636,23,0.118811881188119,5,1,"off",FALSE,0
"5.12",0.00531542892196267,25,0.128712871287129,5,1,"off",FALSE,0
"5.13",0.00477283861890982,27,0.138613861386139,5,1,"off",FALSE,0
"5.14",0.00363205506519339,29,0.148514851485149,5,1,"off",FALSE,0
"6",0.0171400872796485,1,0.0099009900990099,6,1,"off",FALSE,0
"6.1",0.0230235825403691,3,0.0198019801980198,6,1,"off",FALSE,0
"6.2",0.0229089407116656,5,0.0297029702970297,6,1,"off",FALSE,0
"6.3",0.0177446261157302,7,0.0396039603960396,6,1,"off",FALSE,0
"6.4",0.0121899765312587,9,0.0495049504950495,6,1,"off",FALSE,0
"6.5",0.0125813610543455,11,0.0594059405940594,6,1,"off",FALSE,0
"6.6",0.0114589696406988,13,0.0693069306930693,6,1,"off",FALSE,0
"6.7",0.011752586676741,15,0.0792079207920792,6,1,"off",FALSE,0
"6.8",0.0118674436702526,17,0.0891089108910891,6,1,"off",FALSE,0
"6.9",0.00960336993475287,19,0.099009900990099,6,1,"off",FALSE,0
"6.10",0.0076823338096523,21,0.108910891089109,6,1,"off",FALSE,0
"6.11",0.00709859245670953,23,0.118811881188119,6,1,"off",FALSE,0
"6.12",0.00571496379049729,25,0.128712871287129,6,1,"off",FALSE,0
"6.13",0.00514125372221747,27,0.138613861386139,6,1,"off",FALSE,0
"6.14",0.0043876886142288,29,0.148514851485149,6,1,"off",FALSE,0
"7",0.0167184755357913,1,0.0099009900990099,7,1,"off",FALSE,0
"7.1",0.0225161403802924,3,0.0198019801980198,7,1,"off",FALSE,0
"7.2",0.0217673450764025,5,0.0297029702970297,7,1,"off",FALSE,0
"7.3",0.0162842505703209,7,0.0396039603960396,7,1,"off",FALSE,0
"7.4",0.0111905312075582,9,0.0495049504950495,7,1,"off",FALSE,0
"7.5",0.0118987716218415,11,0.0594059405940594,7,1,"off",FALSE,0
"7.6",0.0110898049593464,13,0.0693069306930693,7,1,"off",FALSE,0
"7.7",0.0112833733144685,15,0.0792079207920792,7,1,"off",FALSE,0
"7.8",0.0113502866672046,17,0.0891089108910891,7,1,"off",FALSE,0
"7.9",0.00907094463627692,19,0.099009900990099,7,1,"off",FALSE,0
"7.10",0.00734348788504854,21,0.108910891089109,7,1,"off",FALSE,0
"7.11",0.00703466422378744,23,0.118811881188119,7,1,"off",FALSE,0
"7.12",0.00580490494411554,25,0.128712871287129,7,1,"off",FALSE,0
"7.13",0.00510381208307847,27,0.138613861386139,7,1,"off",FALSE,0
"7.14",0.00421890977031993,29,0.148514851485149,7,1,"off",FALSE,0
"8",0.0170374241072822,1,0.0099009900990099,8,1,"off",FALSE,0
"8.1",0.0226813465509382,3,0.0198019801980198,8,1,"off",FALSE,0
"8.2",0.0222854894022303,5,0.0297029702970297,8,1,"off",FALSE,0
"8.3",0.0166342391104286,7,0.0396039603960396,8,1,"off",FALSE,0
"8.4",0.0113640099769694,9,0.0495049504950495,8,1,"off",FALSE,0
"8.5",0.0117497071315068,11,0.0594059405940594,8,1,"off",FALSE,0
"8.6",0.0107956999145499,13,0.0693069306930693,8,1,"off",FALSE,0
"8.7",0.0111762676044215,15,0.0792079207920792,8,1,"off",FALSE,0
"8.8",0.010855972193281,17,0.0891089108910891,8,1,"off",FALSE,0
"8.9",0.00864993311581743,19,0.099009900990099,8,1,"off",FALSE,0
"8.10",0.00691184133916556,21,0.108910891089109,8,1,"off",FALSE,0
"8.11",0.0062454369197318,23,0.118811881188119,8,1,"off",FALSE,0
"8.12",0.00499931431607088,25,0.128712871287129,8,1,"off",FALSE,0
"8.13",0.00423146232480748,27,0.138613861386139,8,1,"off",FALSE,0
"8.14",0.0032669779184117,29,0.148514851485149,8,1,"off",FALSE,0
"9",0.0174158385209901,1,0.0099009900990099,9,1,"off",FALSE,0
"9.1",0.0238724397487201,3,0.0198019801980198,9,1,"off",FALSE,0
"9.2",0.0239774884440846,5,0.0297029702970297,9,1,"off",FALSE,0
"9.3",0.0189496578229214,7,0.0396039603960396,9,1,"off",FALSE,0
"9.4",0.0131679058051623,9,0.0495049504950495,9,1,"off",FALSE,0
"9.5",0.0128861067458823,11,0.0594059405940594,9,1,"off",FALSE,0
"9.6",0.0119252818836137,13,0.0693069306930693,9,1,"off",FALSE,0
"9.7",0.0116577020280811,15,0.0792079207920792,9,1,"off",FALSE,0
"9.8",0.0117420117394851,17,0.0891089108910891,9,1,"off",FALSE,0
