run,Comparison.type,Yard.Diff,Neighbor.Distance,Num.Nursery,Mimicry,Constraints,Step
1,equal-or-greater,0,1,1,TRUE,off,99
2,equal-or-greater,0,1,1,TRUE,off,99
3,equal-or-greater,0,1,1,TRUE,off,99
4,equal-or-greater,0,1,1,TRUE,off,99
5,equal-or-greater,0,1,1,TRUE,off,99
6,equal-or-greater,0,1,1,TRUE,off,99
7,equal-or-greater,0,1,1,TRUE,off,99
8,equal-or-greater,0,1,1,TRUE,off,99
9,equal-or-greater,0,1,1,TRUE,off,99
10,equal-or-greater,0,1,1,TRUE,off,99
11,equal-or-greater,0,3,1,TRUE,off,99
12,equal-or-greater,0,3,1,TRUE,off,99
13,equal-or-greater,0,3,1,TRUE,off,99
14,equal-or-greater,0,3,1,TRUE,off,99
15,equal-or-greater,0,3,1,TRUE,off,99
16,equal-or-greater,0,3,1,TRUE,off,99
17,equal-or-greater,0,3,1,TRUE,off,99
18,equal-or-greater,0,3,1,TRUE,off,99
19,equal-or-greater,0,3,1,TRUE,off,99
20,equal-or-greater,0,3,1,TRUE,off,99
21,equal-or-greater,0,6,1,TRUE,off,99
22,equal-or-greater,0,6,1,TRUE,off,99
23,equal-or-greater,0,6,1,TRUE,off,99
24,equal-or-greater,0,6,1,TRUE,off,99
25,equal-or-greater,0,6,1,TRUE,off,99
26,equal-or-greater,0,6,1,TRUE,off,99
27,equal-or-greater,0,6,1,TRUE,off,99
28,equal-or-greater,0,6,1,TRUE,off,99
29,equal-or-greater,0,6,1,TRUE,off,99
30,equal-or-greater,0,6,1,TRUE,off,99
31,equal-or-greater,0,9,1,TRUE,off,94
32,equal-or-greater,0,9,1,TRUE,off,72
33,equal-or-greater,0,9,1,TRUE,off,91
34,equal-or-greater,0,9,1,TRUE,off,99
35,equal-or-greater,0,9,1,TRUE,off,99
36,equal-or-greater,0,9,1,TRUE,off,80
37,equal-or-greater,0,9,1,TRUE,off,97
38,equal-or-greater,0,9,1,TRUE,off,99
39,equal-or-greater,0,9,1,TRUE,off,82
40,equal-or-greater,0,9,1,TRUE,off,68
41,equal-or-greater,0,12,1,TRUE,off,44
42,equal-or-greater,0,12,1,TRUE,off,46
43,equal-or-greater,0,12,1,TRUE,off,40
44,equal-or-greater,0,12,1,TRUE,off,63
45,equal-or-greater,0,12,1,TRUE,off,45
46,equal-or-greater,0,12,1,TRUE,off,46
47,equal-or-greater,0,12,1,TRUE,off,74
48,equal-or-greater,0,12,1,TRUE,off,38
49,equal-or-greater,0,12,1,TRUE,off,61
50,equal-or-greater,0,12,1,TRUE,off,43
51,equal-or-greater,1,1,1,TRUE,off,30
52,equal-or-greater,1,1,1,TRUE,off,31
53,equal-or-greater,1,1,1,TRUE,off,35
54,equal-or-greater,1,1,1,TRUE,off,28
55,equal-or-greater,1,1,1,TRUE,off,48
