"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step","Run"
"1",2.03250997233316,0.758013135889954,0,1,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"2",4.09753041699947,0.66878456374948,0,2,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"3",6.16255036166579,0.584990846615069,0,3,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"4",8.22757030633211,0.504709717609165,0,4,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"5",10.2925902509984,0.429284538262659,0,5,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"6",12.3576101956647,0.364034199846518,0,6,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"7",14.4226301403311,0.306389987680842,0,7,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"8",16.4876500849974,0.252440448743501,0,8,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"9",18.5526700296637,0.206285843195916,0,9,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"10",20.61768997433,0.166284358343827,0,10,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"11",22.6827099189963,0.131838441107579,0,11,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"12",24.7477298636626,0.104915715971849,0,12,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"13",26.812749808329,0.0820487457559675,0,13,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"14",28.8777697529953,0.0566101651528042,0,14,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"15",30.9427896976616,0.031799790711239,1.27140178071108e-283,15,1,"equal-or-greater",0,3,1,TRUE,"off",99,1
"16",2.03250997233316,0.778536885763883,0,1,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"17",4.09753041699947,0.686637091804849,0,2,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"18",6.16255036166579,0.597104421748404,0,3,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"19",8.22757030633211,0.513003856646974,0,4,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"20",10.2925902509984,0.441797065928081,0,5,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"21",12.3576101956647,0.391298351539108,0,6,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"22",14.4226301403311,0.352323564099808,0,7,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"23",16.4876500849974,0.320992293971542,0,8,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"24",18.5526700296637,0.292684549518348,0,9,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"25",20.61768997433,0.260489614795838,0,10,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"26",22.6827099189963,0.225658039555605,0,11,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"27",24.7477298636626,0.193157902819516,0,12,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"28",26.812749808329,0.161631093427582,0,13,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"29",28.8777697529953,0.135560699078644,0,14,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"30",30.9427896976616,0.113446044909487,0,15,2,"equal-or-greater",0,3,1,TRUE,"off",99,2
"31",2.03250997233316,0.800003530762983,0,1,3,"equal-or-greater",0,3,1,TRUE,"off",99,3
"32",4.09753041699947,0.716744660645399,0,2,3,"equal-or-greater",0,3,1,TRUE,"off",99,3
