run,Comparison.type,Yard.diff,Neighbor.distance,Num.nursery,Mimicry,Constraint,Step
1,equal-or-greater,0,3,1,TRUE,off,99
2,equal-or-greater,0,3,1,TRUE,off,99
3,equal-or-greater,0,3,1,TRUE,off,99
4,equal-or-greater,0,3,1,TRUE,off,99
5,equal-or-greater,0,3,1,TRUE,off,99
6,equal-or-greater,0,3,1,TRUE,off,99
7,equal-or-greater,0,3,1,TRUE,off,99
8,equal-or-greater,0,3,1,TRUE,off,99
9,equal-or-greater,0,3,1,TRUE,off,99
10,equal-or-greater,0,3,1,TRUE,off,99
11,equal-or-greater,0,3,1,TRUE,random,22
12,equal-or-greater,0,3,1,TRUE,random,19
13,equal-or-greater,0,3,1,TRUE,random,22
14,equal-or-greater,0,3,1,TRUE,random,20
15,equal-or-greater,0,3,1,TRUE,random,19
16,equal-or-greater,0,3,1,TRUE,random,19
17,equal-or-greater,0,3,1,TRUE,random,21
18,equal-or-greater,0,3,1,TRUE,random,20
19,equal-or-greater,0,3,1,TRUE,random,23
20,equal-or-greater,0,3,1,TRUE,random,21
21,equal-or-greater,0,3,1,TRUE,by-block,99
22,equal-or-greater,0,3,1,TRUE,by-block,99
23,equal-or-greater,0,3,1,TRUE,by-block,99
24,equal-or-greater,0,3,1,TRUE,by-block,99
25,equal-or-greater,0,3,1,TRUE,by-block,99
26,equal-or-greater,0,3,1,TRUE,by-block,99
27,equal-or-greater,0,3,1,TRUE,by-block,99
28,equal-or-greater,0,3,1,TRUE,by-block,99
29,equal-or-greater,0,3,1,TRUE,by-block,99
30,equal-or-greater,0,3,1,TRUE,by-block,99
31,equal-or-greater,0,3,4,TRUE,off,99
32,equal-or-greater,0,3,4,TRUE,off,99
33,equal-or-greater,0,3,4,TRUE,off,99
34,equal-or-greater,0,3,4,TRUE,off,99
35,equal-or-greater,0,3,4,TRUE,off,99
36,equal-or-greater,0,3,4,TRUE,off,99
37,equal-or-greater,0,3,4,TRUE,off,99
38,equal-or-greater,0,3,4,TRUE,off,99
39,equal-or-greater,0,3,4,TRUE,off,99
40,equal-or-greater,0,3,4,TRUE,off,99
41,equal-or-greater,0,3,4,TRUE,random,27
42,equal-or-greater,0,3,4,TRUE,random,17
43,equal-or-greater,0,3,4,TRUE,random,20
44,equal-or-greater,0,3,4,TRUE,random,20
45,equal-or-greater,0,3,4,TRUE,random,19
46,equal-or-greater,0,3,4,TRUE,random,19
47,equal-or-greater,0,3,4,TRUE,random,20
48,equal-or-greater,0,3,4,TRUE,random,24
49,equal-or-greater,0,3,4,TRUE,random,18
50,equal-or-greater,0,3,4,TRUE,random,19
51,equal-or-greater,0,3,4,TRUE,by-block,99
52,equal-or-greater,0,3,4,TRUE,by-block,99
53,equal-or-greater,0,3,4,TRUE,by-block,99
54,equal-or-greater,0,3,4,TRUE,by-block,99
55,equal-or-greater,0,3,4,TRUE,by-block,99
56,equal-or-greater,0,3,4,TRUE,by-block,99
57,equal-or-greater,0,3,4,TRUE,by-block,99
58,equal-or-greater,0,3,4,TRUE,by-block,99
59,equal-or-greater,0,3,4,TRUE,by-block,99
60,equal-or-greater,0,3,4,TRUE,by-block,99
61,equal-or-greater,0,9,1,TRUE,off,99
62,equal-or-greater,0,9,1,TRUE,off,99
63,equal-or-greater,0,9,1,TRUE,off,89
64,equal-or-greater,0,9,1,TRUE,off,81
65,equal-or-greater,0,9,1,TRUE,off,99
66,equal-or-greater,0,9,1,TRUE,off,68
67,equal-or-greater,0,9,1,TRUE,off,81
68,equal-or-greater,0,9,1,TRUE,off,68
69,equal-or-greater,0,9,1,TRUE,off,58
70,equal-or-greater,0,9,1,TRUE,off,43
71,equal-or-greater,0,9,1,TRUE,random,36
72,equal-or-greater,0,9,1,TRUE,random,16
73,equal-or-greater,0,9,1,TRUE,random,14
74,equal-or-greater,0,9,1,TRUE,random,18
75,equal-or-greater,0,9,1,TRUE,random,13
76,equal-or-greater,0,9,1,TRUE,random,22
77,equal-or-greater,0,9,1,TRUE,random,11
78,equal-or-greater,0,9,1,TRUE,random,24
79,equal-or-greater,0,9,1,TRUE,random,25
80,equal-or-greater,0,9,1,TRUE,random,24
81,equal-or-greater,0,9,1,TRUE,by-block,66
82,equal-or-greater,0,9,1,TRUE,by-block,96
83,equal-or-greater,0,9,1,TRUE,by-block,77
84,equal-or-greater,0,9,1,TRUE,by-block,68
85,equal-or-greater,0,9,1,TRUE,by-block,85
86,equal-or-greater,0,9,1,TRUE,by-block,86
87,equal-or-greater,0,9,1,TRUE,by-block,77
88,equal-or-greater,0,9,1,TRUE,by-block,75
89,equal-or-greater,0,9,1,TRUE,by-block,81
90,equal-or-greater,0,9,1,TRUE,by-block,99
91,equal-or-greater,0,9,4,TRUE,off,99
92,equal-or-greater,0,9,4,TRUE,off,52
93,equal-or-greater,0,9,4,TRUE,off,72
94,equal-or-greater,0,9,4,TRUE,off,78
95,equal-or-greater,0,9,4,TRUE,off,99
96,equal-or-greater,0,9,4,TRUE,off,56
97,equal-or-greater,0,9,4,TRUE,off,67
98,equal-or-greater,0,9,4,TRUE,off,64
99,equal-or-greater,0,9,4,TRUE,off,99
100,equal-or-greater,0,9,4,TRUE,off,99
101,equal-or-greater,0,9,4,TRUE,random,23
102,equal-or-greater,0,9,4,TRUE,random,20
103,equal-or-greater,0,9,4,TRUE,random,20
104,equal-or-greater,0,9,4,TRUE,random,20
105,equal-or-greater,0,9,4,TRUE,random,28
106,equal-or-greater,0,9,4,TRUE,random,21
107,equal-or-greater,0,9,4,TRUE,random,18
108,equal-or-greater,0,9,4,TRUE,random,29
109,equal-or-greater,0,9,4,TRUE,random,10
110,equal-or-greater,0,9,4,TRUE,random,23
111,equal-or-greater,0,9,4,TRUE,by-block,64
112,equal-or-greater,0,9,4,TRUE,by-block,79
113,equal-or-greater,0,9,4,TRUE,by-block,93
114,equal-or-greater,0,9,4,TRUE,by-block,99
115,equal-or-greater,0,9,4,TRUE,by-block,78
116,equal-or-greater,0,9,4,TRUE,by-block,73
117,equal-or-greater,0,9,4,TRUE,by-block,59
118,equal-or-greater,0,9,4,TRUE,by-block,81
119,equal-or-greater,0,9,4,TRUE,by-block,78
120,equal-or-greater,0,9,4,TRUE,by-block,90
121,equal-or-greater,2,3,1,TRUE,off,16
122,equal-or-greater,2,3,1,TRUE,off,17
123,equal-or-greater,2,3,1,TRUE,off,15
124,equal-or-greater,2,3,1,TRUE,off,19
125,equal-or-greater,2,3,1,TRUE,off,18
126,equal-or-greater,2,3,1,TRUE,off,16
127,equal-or-greater,2,3,1,TRUE,off,18
128,equal-or-greater,2,3,1,TRUE,off,20
129,equal-or-greater,2,3,1,TRUE,off,17
130,equal-or-greater,2,3,1,TRUE,off,17
131,equal-or-greater,2,3,1,TRUE,random,10
132,equal-or-greater,2,3,1,TRUE,random,9
133,equal-or-greater,2,3,1,TRUE,random,12
134,equal-or-greater,2,3,1,TRUE,random,8
135,equal-or-greater,2,3,1,TRUE,random,11
136,equal-or-greater,2,3,1,TRUE,random,7
137,equal-or-greater,2,3,1,TRUE,random,7
138,equal-or-greater,2,3,1,TRUE,random,9
139,equal-or-greater,2,3,1,TRUE,random,9
140,equal-or-greater,2,3,1,TRUE,random,9
141,equal-or-greater,2,3,1,TRUE,by-block,15
142,equal-or-greater,2,3,1,TRUE,by-block,15
143,equal-or-greater,2,3,1,TRUE,by-block,13
144,equal-or-greater,2,3,1,TRUE,by-block,14
145,equal-or-greater,2,3,1,TRUE,by-block,16
146,equal-or-greater,2,3,1,TRUE,by-block,14
147,equal-or-greater,2,3,1,TRUE,by-block,12
148,equal-or-greater,2,3,1,TRUE,by-block,19
149,equal-or-greater,2,3,1,TRUE,by-block,15
150,equal-or-greater,2,3,1,TRUE,by-block,13
151,equal-or-greater,2,3,4,TRUE,off,21
152,equal-or-greater,2,3,4,TRUE,off,19
153,equal-or-greater,2,3,4,TRUE,off,19
154,equal-or-greater,2,3,4,TRUE,off,17
155,equal-or-greater,2,3,4,TRUE,off,17
156,equal-or-greater,2,3,4,TRUE,off,18
157,equal-or-greater,2,3,4,TRUE,off,18
158,equal-or-greater,2,3,4,TRUE,off,21
159,equal-or-greater,2,3,4,TRUE,off,17
160,equal-or-greater,2,3,4,TRUE,off,19
161,equal-or-greater,2,3,4,TRUE,random,8
162,equal-or-greater,2,3,4,TRUE,random,10
163,equal-or-greater,2,3,4,TRUE,random,8
164,equal-or-greater,2,3,4,TRUE,random,8
165,equal-or-greater,2,3,4,TRUE,random,9
166,equal-or-greater,2,3,4,TRUE,random,8
167,equal-or-greater,2,3,4,TRUE,random,9
168,equal-or-greater,2,3,4,TRUE,random,8
169,equal-or-greater,2,3,4,TRUE,random,8
170,equal-or-greater,2,3,4,TRUE,random,8
171,equal-or-greater,2,3,4,TRUE,by-block,13
172,equal-or-greater,2,3,4,TRUE,by-block,13
173,equal-or-greater,2,3,4,TRUE,by-block,14
174,equal-or-greater,2,3,4,TRUE,by-block,13
175,equal-or-greater,2,3,4,TRUE,by-block,11
176,equal-or-greater,2,3,4,TRUE,by-block,12
177,equal-or-greater,2,3,4,TRUE,by-block,14
178,equal-or-greater,2,3,4,TRUE,by-block,17
179,equal-or-greater,2,3,4,TRUE,by-block,11
180,equal-or-greater,2,3,4,TRUE,by-block,13
181,equal-or-greater,2,9,1,TRUE,off,19
182,equal-or-greater,2,9,1,TRUE,off,27
183,equal-or-greater,2,9,1,TRUE,off,36
184,equal-or-greater,2,9,1,TRUE,off,29
185,equal-or-greater,2,9,1,TRUE,off,34
186,equal-or-greater,2,9,1,TRUE,off,25
187,equal-or-greater,2,9,1,TRUE,off,22
188,equal-or-greater,2,9,1,TRUE,off,29
189,equal-or-greater,2,9,1,TRUE,off,22
190,equal-or-greater,2,9,1,TRUE,off,23
191,equal-or-greater,2,9,1,TRUE,random,7
192,equal-or-greater,2,9,1,TRUE,random,15
193,equal-or-greater,2,9,1,TRUE,random,9
194,equal-or-greater,2,9,1,TRUE,random,11
195,equal-or-greater,2,9,1,TRUE,random,15
196,equal-or-greater,2,9,1,TRUE,random,9
197,equal-or-greater,2,9,1,TRUE,random,7
198,equal-or-greater,2,9,1,TRUE,random,10
199,equal-or-greater,2,9,1,TRUE,random,10
200,equal-or-greater,2,9,1,TRUE,random,12
201,equal-or-greater,2,9,1,TRUE,by-block,18
202,equal-or-greater,2,9,1,TRUE,by-block,18
203,equal-or-greater,2,9,1,TRUE,by-block,22
204,equal-or-greater,2,9,1,TRUE,by-block,18
205,equal-or-greater,2,9,1,TRUE,by-block,19
206,equal-or-greater,2,9,1,TRUE,by-block,17
207,equal-or-greater,2,9,1,TRUE,by-block,17
208,equal-or-greater,2,9,1,TRUE,by-block,28
209,equal-or-greater,2,9,1,TRUE,by-block,20
210,equal-or-greater,2,9,1,TRUE,by-block,16
211,equal-or-greater,2,9,4,TRUE,off,20
212,equal-or-greater,2,9,4,TRUE,off,18
213,equal-or-greater,2,9,4,TRUE,off,25
214,equal-or-greater,2,9,4,TRUE,off,18
215,equal-or-greater,2,9,4,TRUE,off,36
216,equal-or-greater,2,9,4,TRUE,off,26
217,equal-or-greater,2,9,4,TRUE,off,40
218,equal-or-greater,2,9,4,TRUE,off,24
219,equal-or-greater,2,9,4,TRUE,off,19
220,equal-or-greater,2,9,4,TRUE,off,34
221,equal-or-greater,2,9,4,TRUE,random,9
222,equal-or-greater,2,9,4,TRUE,random,15
223,equal-or-greater,2,9,4,TRUE,random,10
224,equal-or-greater,2,9,4,TRUE,random,11
225,equal-or-greater,2,9,4,TRUE,random,7
226,equal-or-greater,2,9,4,TRUE,random,7
227,equal-or-greater,2,9,4,TRUE,random,7
228,equal-or-greater,2,9,4,TRUE,random,11
229,equal-or-greater,2,9,4,TRUE,random,8
230,equal-or-greater,2,9,4,TRUE,random,10
231,equal-or-greater,2,9,4,TRUE,by-block,17
232,equal-or-greater,2,9,4,TRUE,by-block,18
233,equal-or-greater,2,9,4,TRUE,by-block,25
234,equal-or-greater,2,9,4,TRUE,by-block,18
235,equal-or-greater,2,9,4,TRUE,by-block,19
236,equal-or-greater,2,9,4,TRUE,by-block,16
237,equal-or-greater,2,9,4,TRUE,by-block,25
238,equal-or-greater,2,9,4,TRUE,by-block,18
239,equal-or-greater,2,9,4,TRUE,by-block,25
240,equal-or-greater,2,9,4,TRUE,by-block,23
241,equal,0,3,1,TRUE,off,99
242,equal,0,3,1,TRUE,off,99
243,equal,0,3,1,TRUE,off,99
244,equal,0,3,1,TRUE,off,99
245,equal,0,3,1,TRUE,off,99
246,equal,0,3,1,TRUE,off,99
247,equal,0,3,1,TRUE,off,99
248,equal,0,3,1,TRUE,off,99
249,equal,0,3,1,TRUE,off,99
250,equal,0,3,1,TRUE,off,91
251,equal,0,3,1,TRUE,random,38
252,equal,0,3,1,TRUE,random,37
253,equal,0,3,1,TRUE,random,40
254,equal,0,3,1,TRUE,random,38
255,equal,0,3,1,TRUE,random,40
256,equal,0,3,1,TRUE,random,41
257,equal,0,3,1,TRUE,random,30
258,equal,0,3,1,TRUE,random,52
259,equal,0,3,1,TRUE,random,44
260,equal,0,3,1,TRUE,random,53
261,equal,0,3,1,TRUE,by-block,99
262,equal,0,3,1,TRUE,by-block,99
263,equal,0,3,1,TRUE,by-block,99
264,equal,0,3,1,TRUE,by-block,99
265,equal,0,3,1,TRUE,by-block,99
266,equal,0,3,1,TRUE,by-block,99
267,equal,0,3,1,TRUE,by-block,99
268,equal,0,3,1,TRUE,by-block,99
269,equal,0,3,1,TRUE,by-block,99
270,equal,0,3,1,TRUE,by-block,99
271,equal,0,3,4,TRUE,off,99
272,equal,0,3,4,TRUE,off,99
273,equal,0,3,4,TRUE,off,99
274,equal,0,3,4,TRUE,off,95
275,equal,0,3,4,TRUE,off,99
276,equal,0,3,4,TRUE,off,99
277,equal,0,3,4,TRUE,off,99
278,equal,0,3,4,TRUE,off,99
279,equal,0,3,4,TRUE,off,99
280,equal,0,3,4,TRUE,off,99
281,equal,0,3,4,TRUE,random,35
282,equal,0,3,4,TRUE,random,35
283,equal,0,3,4,TRUE,random,40
284,equal,0,3,4,TRUE,random,38
285,equal,0,3,4,TRUE,random,43
