run,Comparison.type,Yard.diff,Neighbor.dist,Num.nursery,Mimicry,Constraints,step
1,equal,0,3,1,TRUE,off,99
2,equal,0,3,1,TRUE,off,99
3,equal,0,3,1,TRUE,off,99
4,equal,0,3,1,TRUE,off,99
5,equal,0,3,1,TRUE,off,99
6,equal,0,3,1,TRUE,off,87
7,equal,0,3,1,TRUE,off,99
8,equal,0,3,1,TRUE,off,99
9,equal,0,3,1,TRUE,off,99
10,equal,0,3,1,TRUE,off,99
11,equal,0,3,4,TRUE,off,99
12,equal,0,3,4,TRUE,off,99
13,equal,0,3,4,TRUE,off,99
14,equal,0,3,4,TRUE,off,99
15,equal,0,3,4,TRUE,off,99
16,equal,0,3,4,TRUE,off,99
17,equal,0,3,4,TRUE,off,99
18,equal,0,3,4,TRUE,off,99
19,equal,0,3,4,TRUE,off,99
20,equal,0,3,4,TRUE,off,99
21,equal,0,3,9,TRUE,off,99
22,equal,0,3,9,TRUE,off,99
23,equal,0,3,9,TRUE,off,99
24,equal,0,3,9,TRUE,off,88
25,equal,0,3,9,TRUE,off,99
26,equal,0,3,9,TRUE,off,99
27,equal,0,3,9,TRUE,off,99
28,equal,0,3,9,TRUE,off,99
29,equal,0,3,9,TRUE,off,99
30,equal,0,3,9,TRUE,off,99
