run,Num.nursery,Constraints,Mimicry,step
1,1,off,FALSE,0
2,1,off,FALSE,0
3,1,off,FALSE,0
4,1,off,FALSE,0
5,1,off,FALSE,0
6,1,off,FALSE,0
7,1,off,FALSE,0
8,1,off,FALSE,0
9,1,off,FALSE,0
10,1,off,FALSE,0
11,1,off,FALSE,0
12,1,off,FALSE,0
13,1,off,FALSE,0
14,1,off,FALSE,0
15,1,off,FALSE,0
16,1,off,FALSE,0
17,1,off,FALSE,0
18,1,off,FALSE,0
19,1,off,FALSE,0
20,1,off,FALSE,0
21,1,off,FALSE,0
22,1,off,FALSE,0
23,1,off,FALSE,0
24,1,off,FALSE,0
25,1,off,FALSE,0
26,1,off,FALSE,0
27,1,off,FALSE,0
28,1,off,FALSE,0
29,1,off,FALSE,0
30,1,off,FALSE,0
